lambda,f1,f2,predicate,risk_1,risk_2,smape
1,0.0,0.0,VER,0.16673842385258536,0.08601609657947686,0.0
1,0.0,0.0,ER,0.15656620222683154,0.08098591549295775,0.0
1,0.0,0.0,R,0.09411737298135261,0.041750503018108655,0.0
1,34.2,34.26807817204569,VER,0.16246274928463164,0.08161468812877264,0.0042938466066438875
1,34.2,34.26807817204569,ER,0.15581166761151294,0.08023138832997988,0.0012393427694510982
1,34.2,34.26807817204569,R,0.09311132211398991,0.04074446680080483,0.0017005576738639153
1,68.4,68.98192300176036,VER,0.15818610666406582,0.07733903420523139,0.008616765109794143
1,68.4,68.98192300176036,ER,0.15467905339291171,0.07922535211267606,0.0031531846508190122
1,68.4,68.98192300176036,R,0.0916021496284531,0.039235412474849095,0.0035270260692330984
1,102.6,103.95367738772512,VER,0.1539090039293572,0.07306338028169014,0.012954136138749937
1,102.6,103.95367738772512,ER,0.1498993558103825,0.0744466800804829,0.008604283607035168
1,102.6,103.95367738772512,R,0.0865708911147111,0.03420523138832998,0.009774276518294255
1,136.8,139.04546856883863,VER,0.14963105209209332,0.06878772635814889,0.01730909860214836
1,136.8,139.04546856883863,ER,0.14624973349073617,0.07067404426559357,0.013349077270653691
1,136.8,139.04546856883863,R,0.08229389062210946,0.030181086519114688,0.01467946587897864
1,171.0,174.36281536765168,VER,0.1452268928450405,0.06451207243460765,0.021679716865661912
1,171.0,174.36281536765168,ER,0.14410855536535794,0.06916498993963782,0.016499692591529776
1,171.0,174.36281536765168,R,0.0822922642628985,0.030181086519114688,0.015007582417668117
1,205.2,209.89302718482023,VER,0.14094700398779536,0.06011066398390342,0.026034851736560897
1,205.2,209.89302718482023,ER,0.1402043703402841,0.06564386317907445,0.021328802618036654
1,205.2,209.89302718482023,R,0.0812810722606556,0.029175050301810865,0.01721751404107377
1,239.4,245.65617418274962,VER,0.13666625159592413,0.05583501006036217,0.03039863384530113
1,239.4,245.65617418274962,ER,0.13253034940874384,0.057847082494969816,0.029385369568747224
1,239.4,245.65617418274962,R,0.07046053149042136,0.018108651911468814,0.02941630905515876
1,273.6,281.5041890656793,VER,0.13238585101713035,0.05155935613682092,0.03476418328898439
1,273.6,281.5041890656793,ER,0.12812531513499784,0.05407444668008048,0.034503593584298185
1,273.6,281.5041890656793,R,0.06291278157868711,0.01056338028169014,0.037586630785742606
1,307.8,317.63391128790124,VER,0.12810201844368907,0.047283702213279676,0.03916031375026647
1,307.8,317.63391128790124,ER,0.12409494865055014,0.0505533199195171,0.03903512263104146
1,307.8,317.63391128790124,R,0.05913316530401926,0.007545271629778672,0.04205902988177126
1,342.0,354.20355414504377,VER,0.12369126064154543,0.04300804828973843,0.04356952764555104
1,342.0,354.20355414504377,ER,0.12118743614716217,0.04778672032193159,0.043023167407291785
1,342.0,354.20355414504377,R,0.059124244081548774,0.007545271629778672,0.042771371115165546
1,376.2,391.18130132574095,VER,0.1194061989714268,0.03860663983903421,0.04794933528884148
1,376.2,391.18130132574095,ER,0.11992219986893521,0.04627766599597585,0.04558805222491405
1,376.2,391.18130132574095,R,0.05886674083115188,0.007545271629778672,0.04486650971475952
1,410.4,428.2753873472463,VER,0.11511748878298679,0.03433098591549296,0.05235027605741989
1,410.4,428.2753873472463,ER,0.11626395440502804,0.04351106639839034,0.050225050553754876
1,410.4,428.2753873472463,R,0.055076909030521363,0.0035211267605633804,0.04955181524882785
1,444.6,465.75356916542756,VER,0.11082954713743172,0.03005533199195171,0.05674790690790649
1,444.6,465.75356916542756,ER,0.1085749187360551,0.03546277665995976,0.058498660473661375
1,444.6,465.75356916542756,R,0.05431121096899077,0.0035211267605633804,0.05163999150758638
1,478.8,503.471346943206,VER,0.1065335684451189,0.02577967806841046,0.0611873188646082
1,478.8,503.471346943206,ER,0.10339152254108035,0.03118712273641851,0.0639925156216006
1,478.8,503.471346943206,R,0.05152440594929532,0.001006036217303823,0.05587701683439112
1,513.0,541.4723054093625,VER,0.10211499591045418,0.021504024144869214,0.06562148080333884
1,513.0,541.4723054093625,ER,0.09467941168982547,0.023138832997987926,0.07366020398514188
1,513.0,541.4723054093625,R,0.052275810330892195,0.0015090543259557343,0.05544162617316531
1,547.2,579.7412530063649,VER,0.09781914985292763,0.01710261569416499,0.07003831313602253
1,547.2,579.7412530063649,ER,0.0898739380294108,0.017605633802816902,0.07899660009469076
1,547.2,579.7412530063649,R,0.051507413862831065,0.001006036217303823,0.05712313990827026
1,581.4,618.322885690911,VER,0.09351703197351943,0.012826961770623743,0.07448360016601178
1,581.4,618.322885690911,ER,0.08494306341532515,0.01358148893360161,0.08478002810531136
1,581.4,618.322885690911,R,0.05174791960525169,0.001006036217303823,0.057635851552857
1,615.6,657.3101079131324,VER,0.08921876627300729,0.008551307847082495,0.07890665513833957
1,615.6,657.3101079131324,ER,0.08252255551364157,0.01232394366197183,0.08851532837674127
1,615.6,657.3101079131324,R,0.0517346772495446,0.001006036217303823,0.05834700400464923
1,649.8,697.3855892571844,VER,0.08490942123554153,0.004275653923541248,0.08336232853744388
1,649.8,697.3855892571844,ER,0.07580001411645647,0.005784708249496982,0.09600236868480409
1,649.8,697.3855892571844,R,0.05147144821331984,0.001006036217303823,0.059203756156150186
1,684.0,740.7255892571848,VER,0.08043561367312076,0.0,0.08790163063480713
1,684.0,740.7255892571848,ER,0.06878264025158456,0.0,0.10367474022329791
1,684.0,740.7255892571848,R,0.048723415747658955,0.0,0.06318759251005163
2,0.0,0.0,VER,0.16673842385258536,0.08601609657947686,0.0
2,0.0,0.0,ER,0.07828310111341577,0.08098591549295775,0.0
2,0.0,0.0,R,0.04705868649067631,0.041750503018108655,0.0
2,67.78757210636124,48.15929877080866,VER,0.1637830945334609,0.08601609657947686,0.00603434948729816
2,67.78757210636124,48.15929877080866,ER,0.07781150214009175,0.08098591549295775,0.003302795628501128
2,67.78757210636124,48.15929877080866,R,0.04649275582716615,0.041750503018108655,0.00481093363443559
2,135.57514421272248,98.00790156879154,VER,0.16076136539097446,0.08601609657947686,0.012158304829431038
2,135.57514421272248,98.00790156879154,ER,0.07664727178399804,0.08098591549295775,0.009442794587038648
2,135.57514421272248,98.00790156879154,R,0.04492029040170672,0.041750503018108655,0.012542753636112203
