lambda,f1,f2,predicate,risk_1,risk_2,smape,time,epsilon_pct
2,65.15871234,65.66860672,ER,0.154427745,0.078973843,0.003239215,0.665615082,5
2,65.15871234,65.66860672,R,0.09160215,0.039235412,0.003530754,0.665615082,5
2,129.3139694,131.3372134,VER,0.150512002,0.069668008,0.016355761,0.660614014,10
2,129.3139694,131.3372134,ER,0.146502078,0.071177062,0.012741815,0.660614014,10
2,129.3139694,131.3372134,R,0.082294137,0.030181087,0.01451499,0.660614014,10
2,192.8497599,197.0058202,VER,0.142583477,0.061745473,0.024454267,0.638580322,15
2,192.8497599,197.0058202,ER,0.142848051,0.068158954,0.01868607,0.638580322,15
2,192.8497599,197.0058202,R,0.082543124,0.030684105,0.014920514,0.638580322,15
2,255.6446958,262.6744269,VER,0.134651472,0.053822938,0.032474707,0.659599304,20
2,255.6446958,262.6744269,ER,0.132905207,0.058853119,0.029735363,0.659599304,20
2,255.6446958,262.6744269,R,0.070963232,0.01861167,0.029092574,0.659599304,20
2,317.8635142,328.3430336,VER,0.126842364,0.046026157,0.040452041,0.65860939,25
2,317.8635142,328.3430336,ER,0.123965884,0.050050302,0.039508014,0.65860939,25
2,317.8635142,328.3430336,R,0.058878213,0.007042254,0.042637009,0.65860939,25
2,378.8126206,394.0116403,VER,0.119152872,0.038355131,0.048285088,0.649612427,30
2,378.8126206,394.0116403,ER,0.119795256,0.046529175,0.045562526,0.649612427,30
2,378.8126206,394.0116403,R,0.058110727,0.007042254,0.045198084,0.649612427,30
2,439.0787981,459.6802471,VER,0.111458137,0.030684105,0.056065929,0.658597946,35
2,439.0787981,459.6802471,ER,0.11171972,0.038732394,0.055047713,0.658597946,35
2,439.0787981,459.6802471,R,0.053552472,0.003018109,0.05275379,0.658597946,35
2,498.4897561,525.3488538,VER,0.104008453,0.023264588,0.063726273,0.655595779,40
2,498.4897561,525.3488538,ER,0.101738651,0.029678068,0.066719094,0.655595779,40
2,498.4897561,525.3488538,R,0.052029277,0.001006036,0.055344778,0.655595779,40
2,557.2231276,591.0174605,VER,0.096554179,0.01584507,0.071338369,0.666627884,45
2,557.2231276,591.0174605,ER,0.088733067,0.017354125,0.080673192,0.666627884,45
2,557.2231276,591.0174605,R,0.051753063,0.001006036,0.057202829,0.666627884,45
2,615.0539644,656.6860672,VER,0.089218971,0.008551308,0.078854749,0.656597137,50
2,615.0539644,656.6860672,ER,0.081516582,0.011066398,0.089189988,0.656597137,50
2,615.0539644,656.6860672,R,0.051734842,0.001006036,0.05840777,0.656597137,50
2,669.9032677,722.3546739,VER,0.082367193,0.001760563,0.08599224,0.660608292,55
2,669.9032677,722.3546739,ER,0.072098857,0.003018109,0.100195875,0.660608292,55
2,669.9032677,722.3546739,R,0.0514714,0.001006036,0.05928357,0.660608292,55
2,707.4990418,788.0232807,VER,0.077536375,0,0.093854229,0.723670959,60
2,707.4990418,788.0232807,ER,0.067557802,0,0.107237526,0.723670959,60
2,707.4990418,788.0232807,R,0.047334684,0,0.068340914,0.723670959,60
2,738.5158569,853.6918874,VER,0.073565635,0,0.10183217,0.651622772,65
2,738.5158569,853.6918874,ER,0.065765681,0,0.112959376,0.651622772,65
2,738.5158569,853.6918874,R,0.04590514,0,0.073582577,0.651622772,65
2,768.6873795,919.3604941,VER,0.069783612,0,0.109616301,0.672611237,70
2,768.6873795,919.3604941,ER,0.062630368,0,0.121274124,0.672611237,70
2,768.6873795,919.3604941,R,0.04547901,0,0.075474317,0.672611237,70
2,798.1230974,985.0291008,VER,0.066114516,0,0.117270065,0.682619095,75
2,798.1230974,985.0291008,ER,0.059061449,0,0.130584978,0.682619095,75
2,798.1230974,985.0291008,R,0.042104065,0,0.085244995,0.682619095,75
2,825.4310001,1050.697708,VER,0.062598192,0,0.124519121,0.691635132,80
2,825.4310001,1050.697708,ER,0.055329446,0,0.139920589,0.691635132,80
2,825.4310001,1050.697708,R,0.036680052,0,0.098985123,0.691635132,80
2,851.069696,1116.366314,VER,0.059266802,0,0.131358586,0.667608261,85
2,851.069696,1116.366314,ER,0.051642298,0,0.148722676,0.667608261,85
2,851.069696,1116.366314,R,0.035258461,0,0.104300489,0.667608261,85
2,876.2851962,1182.034921,VER,0.056042093,0,0.1381075,0.689626694,90
2,876.2851962,1182.034921,ER,0.047968959,0,0.157804039,0.689626694,90
2,876.2851962,1182.034921,R,0.034559976,0,0.108362719,0.689626694,90
2,900.0399155,1247.703528,VER,0.052940456,0,0.144468066,0.707641602,95
2,900.0399155,1247.703528,ER,0.044268576,0,0.166598117,0.707641602,95
2,900.0399155,1247.703528,R,0.03406235,0,0.111637949,0.707641602,95
2,921.5,1313.372134,VER,0.050177429,0,0.150298441,0.665632248,100
2,921.5,1313.372134,ER,0.041425154,0,0.173880282,0.665632248,100
2,921.5,1313.372134,R,0.033117998,0,0.11571046,0.665632248,100
3,0,0,VER,0.166738424,0.086016097,0,0.388366699,0
3,0,0,ER,0.156566202,0.080985915,0,0.388366699,0
3,0,0,R,0.094117373,0.041750503,0,0.388366699,0
3,139.6506658,141.9880913,VER,0.149253515,0.068410463,0.017668087,0.855812073,5
3,139.6506658,141.9880913,ER,0.145746313,0.070422535,0.013813439,0.855812073,5
3,139.6506658,141.9880913,R,0.082545389,0.030181087,0.014306148,0.855812073,5
3,275.9542795,283.9761826,VER,0.132133716,0.051307847,0.035083346,0.861782074,10
3,275.9542795,283.9761826,ER,0.1274963,0.052816901,0.035151021,0.861782074,10
3,275.9542795,283.9761826,R,0.063666546,0.011066398,0.037172471,0.861782074,10
3,408.2814793,425.9642739,VER,0.115370277,0.034582495,0.052078916,0.860784531,15
3,408.2814793,425.9642739,ER,0.114379207,0.041247485,0.051316134,0.860784531,15
3,408.2814793,425.9642739,R,0.053821751,0.003018109,0.050701617,0.860784531,15
3,536.7209886,567.9523652,VER,0.09920722,0.018485915,0.068676932,0.867788315,20
3,536.7209886,567.9523652,ER,0.09302993,0.020875252,0.075999703,0.867788315,20
3,536.7209886,567.9523652,R,0.051762272,0.001006036,0.056291145,0.867788315,20
3,659.9718938,709.9404565,VER,0.083626454,0.003018109,0.084731916,0.853153229,25
3,659.9718938,709.9404565,ER,0.073875478,0.004275654,0.098203757,0.853153229,25
3,659.9718938,709.9404565,R,0.051471466,0.001006036,0.059241726,0.853153229,25
3,737.6953215,851.9285478,VER,0.073691935,0,0.101601494,0.894416809,30
3,737.6953215,851.9285478,ER,0.065933693,0,0.112590427,0.894416809,30
3,737.6953215,851.9285478,R,0.045905186,0,0.073526591,0.894416809,30
3,802.0207862,993.9166391,VER,0.065544125,0,0.118330826,0.89481163,35
3,802.0207862,993.9166391,ER,0.058448487,0,0.132153824,0.89481163,35
3,802.0207862,993.9166391,R,0.04159796,0,0.086663025,0.89481163,35
3,858.6605615,1135.90473,VER,0.05830447,0,0.133391156,0.835361481,40
3,858.6605615,1135.90473,ER,0.04981773,0,0.152653323,0.835361481,40
3,858.6605615,1135.90473,R,0.035066123,0,0.105056542,0.835361481,40
3,910.1183374,1277.892822,VER,0.051631824,0,0.147216332,0.91583252,45
3,910.1183374,1277.892822,ER,0.042586368,0,0.17054119,0.91583252,45
3,910.1183374,1277.892822,R,0.033559947,0,0.113201587,0.91583252,45
3,954.2588551,1419.880913,VER,0.046010035,0,0.163074511,0.907855988,50
3,954.2588551,1419.880913,ER,0.039538334,0,0.183045919,0.907855988,50
3,954.2588551,1419.880913,R,0.032114615,0,0.121721315,0.907855988,50
3,992.2678781,1561.869004,VER,0.041108594,0,0.178406302,0.87023735,55
3,992.2678781,1561.869004,ER,0.035560815,0,0.200277606,0.87023735,55
3,992.2678781,1561.869004,R,0.029345476,0,0.137069991,0.87023735,55
3,1022.67665,1703.857096,VER,0.03705657,0,0.19097146,0.863239288,60
3,1022.67665,1703.857096,ER,0.030971243,0,0.217175491,0.863239288,60
3,1022.67665,1703.857096,R,0.027059525,0,0.15012058,0.863239288,60
3,1031.651935,1845.845187,VER,0.035842128,0,0.194877385,0.851118088,65
3,1031.651935,1845.845187,ER,0.029646726,0,0.222405976,0.851118088,65
3,1031.651935,1845.845187,R,0.026739817,0,0.151786671,0.851118088,65
3,1032.256917,1987.833278,VER,0.035705466,0,0.19519029,0.849277496,70
3,1032.256917,1987.833278,ER,0.029434187,0,0.222500858,0.849277496,70
3,1032.256917,1987.833278,R,0.02666943,0,0.152441456,0.849277496,70
3,1032.57671,2129.821369,VER,0.035676136,0,0.195143735,0.896663666,75
3,1032.57671,2129.821369,ER,0.029374888,0,0.222947366,0.896663666,75
3,1032.57671,2129.821369,R,0.026595528,0,0.152427511,0.896663666,75
3,1032.896503,2271.809461,VER,0.035665201,0,0.195407728,0.857822418,80
3,1032.896503,2271.809461,ER,0.029384191,0,0.222972739,0.857822418,80
3,1032.896503,2271.809461,R,0.026592117,0,0.152866525,0.857822418,80
3,1033.216296,2413.797552,VER,0.035581487,0,0.195544693,0.889192581,85
3,1033.216296,2413.797552,ER,0.029302161,0,0.22300724,0.889192581,85
3,1033.216296,2413.797552,R,0.02651219,0,0.152947036,0.889192581,85
3,1033.533497,2555.785643,VER,0.035533597,0,0.195701503,0.84887886,90
3,1033.533497,2555.785643,ER,0.029297172,0,0.223252261,0.84887886,90
3,1033.533497,2555.785643,R,0.026514663,0,0.153332549,0.84887886,90
3,1033.850082,2697.773735,VER,0.035510278,0,0.196005693,0.867523193,95
3,1033.850082,2697.773735,ER,0.029264226,0,0.223845427,0.867523193,95
3,1033.850082,2697.773735,R,0.026433851,0,0.153498965,0.867523193,95
3,1034.166666,2839.761826,VER,0.035500611,0,0.196157069,0.923589706,100
3,1034.166666,2839.761826,ER,0.029254584,0,0.224006328,0.923589706,100
3,1034.166666,2839.761826,R,0.026509677,0,0.153500472,0.923589706,100
