438,6,0,7,0,4,6,29,0,1,0,0,1,1,2733
467,4,0,11,0,2,6,13,0,2,0,0,1,0,2518
430,11,0,6,0,4,13,10,0,0,0,0,0,0,2299
653,3,1,12,0,6,13,20,0,0,0,0,4,5,2847
313,205,0,17,0,2,25,15,1,0,0,0,18,3,1767
300,91,0,1,0,10,13,7,0,1,0,0,19,0,1590
297,165,0,3,0,4,14,9,1,0,0,0,13,3,1300
289,18,4,11,0,3,4,13,1,1,0,0,1,0,1901
439,11,0,8,0,1,11,11,0,0,0,0,0,0,2439
445,17,1,11,0,2,11,19,1,0,1,0,3,3,2973
281,25,0,4,0,2,9,25,0,5,0,0,7,0,2897
380,252,0,1,0,7,28,14,3,0,0,0,14,4,1565
129,468,0,0,0,0,19,1,12,0,0,0,10,0,449
40,822,1,2,0,6,14,5,11,0,0,0,7,1,123
291,248,0,9,0,3,14,15,1,0,0,0,3,2,1297
257,455,3,11,0,8,26,8,2,0,0,0,20,1,1215
202,742,1,3,0,9,28,4,7,0,0,0,6,1,569
62,484,0,0,0,1,15,3,5,0,0,0,10,1,344
163,24,0,1,0,1,0,15,0,0,0,0,5,0,4950
15,2,0,1,0,0,2,3,0,0,1,0,0,0,2932
5,5,0,2,0,0,0,5,0,0,0,0,1,0,6165
66,26,0,61,0,0,0,4,1,0,0,0,1,0,2016
21,19,0,1,0,0,0,11,2,0,0,0,0,1,4244
43,57,0,2,0,0,2,15,1,0,0,0,1,1,5459
54,378,1,0,0,0,8,8,5,0,0,0,2,0,148
25,748,3,6,26,2,4,0,4,0,0,0,1,0,65
63,412,0,1,0,6,15,6,4,2,0,0,32,0,395
64,175,0,1,0,0,5,4,4,0,0,0,64,0,1503
19,0,0,3,0,0,0,6,3,0,0,0,0,0,3060
86,17,0,6,0,0,2,18,0,2,0,0,11,0,2025
57,6,0,9,0,1,1,6,0,0,0,0,7,2,1600
91,0,1,14,0,0,0,12,1,1,0,0,1,0,2921
184,61,0,3,0,2,5,24,1,1,0,0,6,0,2599
33,3,0,1,0,0,0,8,0,0,0,0,0,0,1586
59,91,0,2,0,0,6,11,0,0,0,0,0,0,1361
23,390,5,1,0,0,9,1,2,3,0,0,2,1,137
70,604,0,9,0,4,4,2,4,4,0,0,39,1,285
30,460,1,2,0,0,29,6,13,0,0,0,1,0,408
129,528,5,5,0,3,25,27,14,0,2,0,297,5,705
50,262,6,2,3,6,8,3,7,0,0,0,42,4,312
82,410,0,7,0,4,25,14,13,0,1,0,20,1,426
352,99,0,0,0,5,5,11,2,0,0,0,11,1,1352
103,542,1,6,2,1,35,5,6,0,0,0,24,0,537
271,271,0,4,1,11,7,10,5,0,0,0,14,1,1407
75,384,2,2,0,1,16,2,3,0,0,0,12,0,427
120,143,1,5,0,0,4,5,1,0,0,0,3,0,1308
30,677,6,1,0,2,19,2,4,0,0,0,6,0,241
20,895,2,9,31,4,15,1,20,0,0,0,7,0,72
44,114,1,2,0,0,10,6,1,0,0,0,6,3,1986
31,2,0,3,0,4,2,10,0,0,0,0,14,0,1679
29,249,1,0,0,3,10,1,2,0,0,0,1,0,198
103,566,11,2,0,0,20,12,5,0,0,0,2,2,838
69,191,0,0,0,1,3,8,2,0,0,0,0,3,865
17,26,0,1,0,1,0,3,1,0,0,0,1,0,1823
92,277,0,0,0,4,14,12,9,0,0,0,1,1,385
430,122,0,16,0,8,18,22,11,0,0,0,17,2,4045
1062,212,1,10,0,12,56,25,5,4,1,0,41,4,2887
502,29,2,13,0,8,23,12,0,0,0,0,11,7,2379
526,146,0,14,0,6,43,28,4,0,0,0,51,7,1306
812,475,7,31,2,6,86,17,6,3,0,0,101,4,1794
556,98,2,16,0,5,19,8,2,1,0,0,34,2,1732
429,141,2,19,0,5,19,14,5,0,0,0,40,1,1344
856,354,3,21,0,11,53,47,10,1,1,3,70,4,2886
1112,240,4,9,0,6,53,16,2,1,0,0,9,4,2893
138,453,5,3,5,3,22,12,5,0,0,0,2,0,659
106,14,0,1,0,3,4,10,0,0,0,0,0,0,2162
56,637,1,1,0,2,20,3,7,0,1,0,0,1,594
13,385,3,0,0,2,10,1,8,0,0,0,0,1,77
33,592,0,3,0,7,14,3,6,0,0,0,3,5,132
57,1063,0,2,0,11,47,10,16,1,0,0,9,1,255
111,395,1,0,0,1,16,0,5,1,0,0,11,0,452
364,286,0,2,0,2,13,15,2,0,0,0,16,1,1183
164,23,0,4,0,0,5,18,0,2,0,0,0,0,3074
189,23,0,0,0,6,4,23,0,0,0,0,0,0,2104
317,26,1,0,0,1,14,18,0,0,3,0,5,0,1616
108,549,1,3,0,3,24,0,6,0,0,0,0,3,484
267,524,0,2,0,2,35,6,2,0,0,0,9,3,895
410,144,5,3,0,0,14,9,2,0,0,0,7,4,1394
960,39,1,121,0,5,19,33,5,0,3,0,16,0,4448
1808,89,8,812,0,10,60,56,5,0,2,0,51,6,7257
1678,23,0,156,0,2,18,17,0,0,0,0,2,1,3619
929,7,2,58,0,2,16,24,0,0,0,0,3,3,3183
767,7,0,55,0,2,15,19,0,0,0,0,2,1,2901
528,9,3,57,1,4,15,13,1,0,3,0,6,2,2415
1003,13,1,55,0,4,26,26,0,0,0,0,3,2,3283
611,3,0,82,0,3,8,13,0,0,0,0,1,0,2043
423,53,0,39,0,0,11,17,0,0,0,0,7,2,2764
114,29,3,89,0,4,2,9,1,0,0,0,20,0,1731
383,43,3,98,0,23,15,12,3,0,0,0,48,0,2744
1079,120,4,197,3,9,36,43,14,0,1,1,69,1,3511
765,192,2,165,0,26,31,21,10,0,9,2,86,0,3082
1583,182,6,210,0,24,58,30,0,0,2,0,84,2,5098
1114,56,5,185,0,3,43,28,1,0,0,0,43,0,3769
588,63,0,148,0,5,31,4,2,0,1,0,17,0,2081
763,91,4,78,0,0,23,23,5,0,0,0,53,0,3575
1148,41,1,86,1,6,8,25,1,0,0,0,7,1,3034
871,27,2,76,0,2,8,10,3,1,1,0,4,2,2970
1107,56,7,125,3,9,30,17,7,1,0,0,3,0,3155
599,38,0,33,0,0,20,26,2,0,0,0,12,2,1702
337,38,4,98,0,5,7,11,1,0,0,0,24,0,2365
475,27,0,64,0,9,19,19,4,1,0,0,33,2,2853
527,9,0,13,0,3,8,14,0,0,0,0,3,1,1957
991,3,2,107,0,4,13,18,0,1,0,0,5,3,2909
1129,2,1,10,0,3,4,13,0,0,0,0,3,0,2358
939,9,0,8,1,0,13,22,0,0,0,0,0,3,2760
485,14,0,17,0,6,18,20,0,0,0,2,2,2,1917
705,21,0,17,0,1,14,30,0,0,0,0,1,1,2474
562,31,0,12,0,8,26,9,2,0,0,0,4,0,1932
467,1,0,3,0,0,10,14,0,0,0,0,3,0,1561
216,198,1,9,0,6,21,22,9,0,0,0,13,0,2163
239,6,0,7,0,0,9,17,0,0,0,0,0,0,1492
346,2,1,9,0,3,11,5,0,0,0,0,0,0,1093
372,168,1,19,0,2,24,18,15,0,0,0,91,0,1743
330,289,1,18,1,8,22,8,16,2,0,4,28,2,1620
234,386,0,5,0,15,18,28,1,0,0,0,15,1,1673
328,925,2,31,4,31,35,76,35,4,4,2,83,6,1955
393,893,0,48,0,10,22,36,22,0,0,0,52,1,1986
254,1123,1,4,2,10,18,38,20,0,0,0,68,4,877
