lambda,f1,f2,predicate,risk_1,risk_2,utility,time,q
2,65.15871234,65.66860672,ER,0.154427745,0.078973843,0.995988745,0.262000084,5
2,65.15871234,65.66860672,R,0.09160215,0.039235412,0.99560224,0.262000084,5
2,129.3139694,131.3372134,VER,0.150512002,0.069668008,0.983483751,0.258999825,10
2,129.3139694,131.3372134,ER,0.146502078,0.071177062,0.985509522,0.258999825,10
2,129.3139694,131.3372134,R,0.082294137,0.030181087,0.983652672,0.258999825,10
2,192.8497599,197.0058202,VER,0.142583477,0.061745473,0.975225626,0.256000042,15
2,192.8497599,197.0058202,ER,0.142848051,0.068158954,0.978487685,0.256000042,15
2,192.8497599,197.0058202,R,0.082543124,0.030684105,0.982784593,0.256000042,15
2,255.6446958,262.6744269,VER,0.134651472,0.053822938,0.966967502,0.267000198,20
2,255.6446958,262.6744269,ER,0.132905207,0.058853119,0.966833079,0.267000198,20
2,255.6446958,262.6744269,R,0.070963232,0.01861167,0.966809517,0.267000198,20
2,317.8635142,328.3430336,VER,0.126842364,0.046026157,0.958709377,0.268999815,25
2,317.8635142,328.3430336,ER,0.123966812,0.05055332,0.956676184,0.268999815,25
2,317.8635142,328.3430336,R,0.058124429,0.006539235,0.951519291,0.268999815,25
2,378.8126206,394.0116403,VER,0.119152872,0.038355131,0.950451252,0.264999866,30
2,378.8126206,394.0116403,ER,0.116522541,0.043008048,0.945634919,0.264999866,30
2,378.8126206,394.0116403,R,0.060374179,0.009557344,0.94907064,0.264999866,30
2,439.0787981,459.6802471,VER,0.111456015,0.030684105,0.942193128,0.26699996,35
2,439.0787981,459.6802471,ER,0.112225387,0.039486922,0.938625073,0.26699996,35
2,439.0787981,459.6802471,R,0.052544992,0.001006036,0.937555692,0.26699996,35
2,498.4897561,525.3488538,VER,0.104008452,0.023264588,0.933935003,0.268000126,40
2,498.4897561,525.3488538,ER,0.100983176,0.028420523,0.924674793,0.268000126,40
2,498.4897561,525.3488538,R,0.051777653,0.001006036,0.934514421,0.268000126,40
2,557.2231276,591.0174605,VER,0.096554707,0.01584507,0.925676879,0.269999981,45
2,557.2231276,591.0174605,ER,0.089364166,0.017102616,0.91059279,0.269999981,45
2,557.2231276,591.0174605,R,0.051503634,0.001006036,0.931166947,0.269999981,45
2,615.0539644,656.6860672,VER,0.089222751,0.008551308,0.917418754,0.270999908,50
2,615.0539644,656.6860672,ER,0.081397289,0.011317907,0.900648312,0.270999908,50
2,615.0539644,656.6860672,R,0.051482182,0.001006036,0.928674361,0.270999908,50
2,669.9032677,722.3546739,VER,0.082367193,0.001760563,0.90916063,0.273999929,55
2,669.9032677,722.3546739,ER,0.072100105,0.003018109,0.887703835,0.273999929,55
2,669.9032677,722.3546739,R,0.051473895,0.001006036,0.927561548,0.273999929,55
2,707.4990418,788.0232807,VER,0.077543078,0,0.900902505,0.265999794,60
2,707.4990418,788.0232807,ER,0.06767164,0,0.879555106,0.265999794,60
2,707.4990418,788.0232807,R,0.04759132,0,0.917208387,0.265999794,60
2,738.5158569,853.6918874,VER,0.073565761,0,0.89264438,0.289000034,65
2,738.5158569,853.6918874,ER,0.065472121,0,0.872689864,0.289000034,65
2,738.5158569,853.6918874,R,0.046156803,0,0.911236323,0.289000034,65
2,768.6873795,919.3604941,VER,0.069783648,0,0.884386256,0.275999784,70
2,768.6873795,919.3604941,ER,0.062335548,0,0.862888916,0.275999784,70
2,768.6873795,919.3604941,R,0.0445519,0,0.906147713,0.275999784,70
2,798.1230974,985.0291008,VER,0.066051643,0,0.876128131,0.263000011,75
2,798.1230974,985.0291008,ER,0.059040624,0,0.85297121,0.263000011,75
2,798.1230974,985.0291008,R,0.041432245,0,0.896441726,0.263000011,75
2,825.4310001,1050.697708,VER,0.062598192,0,0.867870007,0.264000177,80
2,825.4310001,1050.697708,ER,0.055243538,0,0.841773361,0.264000177,80
2,825.4310001,1050.697708,R,0.036554337,0,0.880759346,0.264000177,80
2,851.069696,1116.366314,VER,0.059325162,0,0.859611882,0.271000147,85
2,851.069696,1116.366314,ER,0.05206403,0,0.831343306,0.271000147,85
2,851.069696,1116.366314,R,0.03507586,0,0.872250681,0.271000147,85
2,876.2851962,1182.034921,VER,0.056044107,0,0.851353757,0.272000074,90
2,876.2851962,1182.034921,ER,0.047497217,0,0.81882094,0.272000074,90
2,876.2851962,1182.034921,R,0.034515855,0,0.866887093,0.272000074,90
2,900.0399155,1247.703528,VER,0.052940456,0,0.843095633,0.282999992,95
2,900.0399155,1247.703528,ER,0.044253265,0,0.808524974,0.282999992,95
2,900.0399155,1247.703528,R,0.034029982,0,0.862110225,0.282999992,95
2,921.5,1313.372134,VER,0.050177899,0,0.834837508,0.273000002,100
2,921.5,1313.372134,ER,0.041425748,0,0.797975039,0.273000002,100
2,921.5,1313.372134,R,0.0331212,0,0.855977163,0.273000002,100
3,0,0,VER,0.166738424,0.086016097,1,0.125,0
3,0,0,ER,0.156566202,0.080985915,1,0.125,0
3,0,0,R,0.094117373,0.041750503,1,0.125,0
3,86.50031582,87.48809129,VER,0.155921799,0.075075453,0.988997976,0.378999949,5
3,86.50031582,87.48809129,ER,0.152917911,0.07721328,0.993489133,0.378999949,5
3,86.50031582,87.48809129,R,0.091098947,0.038229376,0.99434631,0.378999949,5
3,171.5935812,174.9761826,VER,0.145226829,0.064386318,0.977995953,0.36500001,10
3,171.5935812,174.9761826,ER,0.144360023,0.069416499,0.981068753,0.36500001,10
3,171.5935812,174.9761826,R,0.082292264,0.030181087,0.982755508,0.36500001,10
3,255.4440952,262.4642739,VER,0.134651495,0.053822938,0.966993929,0.386999846,15
