lambda,coverage,u,predicate,p_mape,risk_1,risk_2,smape,,,,
3,2,1.5,R,,0.037844257,0.006539235,0.127657932,0.094,0.597401523,0.042,0.844303919
3,2,2,R,,0.032624944,0.002515091,0.13981767,0.094,0.652926129,0.042,0.940116892
1,1,0.05,VER,0.05,0.118648302,0.037852113,0.048722799,0.167,0.289531124,0.086,0.559859155
1,1,0.1,VER,0.099951639,0.0799987,0,0.088703342,0.167,0.520965866,0.086,1
1,1,0.5,VER,0.449154202,0.079482441,0,0.089677938,0.167,0.524057241,0.086,1
1,1,1,VER,0.449154202,0.079482441,0,0.089677938,0.167,0.524057241,0.086,1
1,1,1.5,VER,0.449154202,0.079482441,0,0.089677938,0.167,0.524057241,0.086,1
1,1,2,VER,0.449154202,0.079482441,0,0.089677938,0.167,0.524057241,0.086,1
1,2,0.05,VER,0.05,0.120464918,0.03998994,0.047709948,0.167,0.278653183,0.086,0.535000702
1,2,0.1,VER,0.1,0.085821373,0.007671026,0.084263451,0.167,0.486099563,0.086,0.910802021
1,2,0.5,VER,0.5,0.075473255,0,0.10223097,0.167,0.548064344,0.086,1
1,2,1,VER,1,0.076238815,0,0.109292619,0.167,0.543480149,0.086,1
1,2,1.5,VER,1.5,0.076909079,0,0.114650695,0.167,0.539466593,0.086,1
1,2,2,VER,2,0.077863259,0,0.119776581,0.167,0.533752937,0.086,1
2,1,0.05,VER,0.05,0.143680815,0.086016097,0.047305207,0.167,0.139635837,0.086,-0.00018717
2,1,0.1,VER,0.1,0.10596801,0.055331992,0.093142389,0.167,0.365461017,0.086,0.356604745
2,1,0.5,VER,0.5,0.048802513,0,0.15329196,0.167,0.707769383,0.086,1
2,1,1,VER,1,0.048878768,0,0.153610929,0.167,0.707312766,0.086,1
2,1,1.5,VER,1.5,0.049216045,0,0.153760248,0.167,0.705293144,0.086,1
2,1,2,VER,1.529873638,0.049243946,0,0.15369727,0.167,0.705126074,0.086,1
2,2,0.05,VER,0.05,0.144775547,0.086016097,0.045717998,0.167,0.133080554,0.086,-0.00018717
2,2,0.1,VER,0.1,0.106195125,0.052942656,0.090736817,0.167,0.364101049,0.086,0.384387722
2,2,0.5,VER,0.5,0.064379025,0.01332998,0.140327999,0.167,0.614496853,0.086,0.845000234
2,2,1,VER,1,0.059060457,0.009557344,0.153221257,0.167,0.646344567,0.086,0.888868092
2,2,1.5,VER,1.5,0.051449273,0.002640845,0.16830914,0.167,0.691920518,0.086,0.969292499
2,2,2,VER,2,0.04617316,0,0.179887635,0.167,0.723514012,0.086,1
3,1,0.05,VER,0.05,0.151951876,0.086016097,0.045057038,0.167,0.090108529,0.086,-0.00018717
3,1,0.1,VER,0.1,0.130290863,0.086016097,0.090067472,0.167,0.219815192,0.086,-0.00018717
3,1,0.5,VER,0.5,0.034283664,0,0.199403473,0.167,0.794708598,0.086,1
3,1,1,VER,1,0.034315686,0,0.199818284,0.167,0.794516848,0.086,1
3,1,1.5,VER,1.5,0.034541479,0,0.200099612,0.167,0.793164793,0.086,1
3,1,2,VER,2,0.034586899,0,0.200257282,0.167,0.792892823,0.086,1
3,2,0.05,VER,0.05,0.150372071,0.086016097,0.045405461,0.167,0.099568439,0.086,-0.00018717
3,2,0.1,VER,0.1,0.130719515,0.086016097,0.087910328,0.167,0.217248412,0.086,-0.00018717
3,2,0.5,VER,0.5,0.067647355,0.024522133,0.158552954,0.167,0.594926016,0.086,0.714858921
3,2,1,VER,1,0.061637139,0.019491952,0.172098494,0.167,0.630915336,0.086,0.773349399
3,2,1.5,VER,1.5,0.052537356,0.010311871,0.188670348,0.167,0.685405054,0.086,0.880094521
3,2,2,VER,2,0.049393639,0.009054326,0.197626715,0.167,0.704229704,0.086,0.89471714
,,,,,,,,,0.037688298,,-0.00018717
,,,,,,,,,0.822319661,,1
