lambda,coverage,predicate,p_mape,risk_1,risk_2,smape
1,1,VER,0.0931495962345558,0.08043516140908702,0.0,0.08790306262217647
1,1,ER,,0.06880176758157194,0.0,0.10365411172483213
1,1,R,,0.048716684699763646,0.0,0.06328824875998926
1,2,VER,0.4889186140603504,0.07806775797342322,0.0,0.09892366000090586
1,2,ER,,0.06592973647489335,0.0,0.11563213070352797
1,2,R,,0.04671800823667273,0.0,0.06873094667798335
2,1,VER,0.1651624917556699,0.05012281387906536,0.0,0.15027313912694826
2,1,ER,,0.04137105324818275,0.0,0.1738504957833307
2,1,R,,0.0330385112007798,0.0,0.11561806409874847
2,2,VER,1.748838539912478,0.048088776315068714,0.0,0.1735937939195246
2,2,ER,,0.03901860903527431,0.0,0.19340311898018686
2,2,R,,0.030943737097357257,0.0,0.11948371992111888
3,1,VER,0.35711290566663895,0.03546601373490336,0.0,0.19601119409579684
3,1,ER,,0.029240924132078013,0.0,0.223932020371584
3,1,R,,0.026407791873384583,0.0,0.1542117990540403
3,2,VER,4.033453614740033,0.03446742608945718,0.0,0.23328700586173698
3,2,ER,,0.028175008300853396,0.0,0.2540773411495699
3,2,R,,0.024519269867160496,0.0,0.15372884166584785
