start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
13,39049000730,+40.0050776,-082.9736696,278,39049010400,+40.1246594,-083.1607484,2.0
19,39049001110,+40.0091635,-083.0142462,166,39049007551,+40.0258470,-082.9209676,2.0
20,39049001121,+39.9998914,-083.0128050,79,39049006230,+40.0793948,-083.1737874,2.0
23,39049001300,+39.9983165,-083.0011748,278,39049010400,+40.1246594,-083.1607484,2.0
24,39049001400,+39.9952118,-082.9871075,192,39049008162,+39.9193520,-083.1964122,2.0
34,39049002200,+39.9826700,-082.9996446,79,39049006230,+40.0793948,-083.1737874,2.0
35,39049002300,+39.9814177,-082.9723053,193,39049008163,+39.9404250,-083.1362465,2.0
37,39049002520,+39.9752413,-082.9524679,278,39049010400,+40.1246594,-083.1607484,2.0
39,39049002710,+39.9799914,-082.9192524,79,39049006230,+40.0793948,-083.1737874,2.0
44,39049002770,+39.9516772,-082.9101679,79,39049006230,+40.0793948,-083.1737874,2.0
48,39049003000,+39.9710932,-082.9937788,278,39049010400,+40.1246594,-083.1607484,2.0
49,39049003200,+39.9714198,-083.0133641,166,39049007551,+40.0258470,-082.9209676,2.0
50,39049003600,+39.9685662,-082.9752006,192,39049008162,+39.9193520,-083.1964122,2.0
51,39049003700,+39.9627013,-082.9535872,79,39049006230,+40.0793948,-083.1737874,2.0
51,39049003700,+39.9627013,-082.9535872,193,39049008163,+39.9404250,-083.1362465,2.0
64,39049005100,+39.9427460,-083.0214223,193,39049008163,+39.9404250,-083.1362465,2.0
67,39049005410,+39.9555588,-082.9538281,174,39049007820,+40.0219457,-083.0264862,2.0
67,39049005410,+39.9555588,-082.9538281,192,39049008162,+39.9193520,-083.1964122,2.0
69,39049005500,+39.9460765,-082.9603156,278,39049010400,+40.1246594,-083.1607484,2.0
70,39049005610,+39.9473894,-082.9781077,174,39049007820,+40.0219457,-083.0264862,2.0
71,39049005620,+39.9399965,-082.9784131,79,39049006230,+40.0793948,-083.1737874,2.0
76,39049006000,+39.9317195,-082.9775299,79,39049006230,+40.0793948,-083.1737874,2.0
82,39049006321,+40.0375261,-083.0573697,193,39049008163,+39.9404250,-083.1362465,2.0
101,39049006410,+40.0117459,-083.0823861,193,39049008163,+39.9404250,-083.1362465,2.0
103,39049006500,+40.0045889,-083.0676698,166,39049007551,+40.0258470,-082.9209676,2.0
104,39049006600,+39.9961241,-083.0598240,192,39049008162,+39.9193520,-083.1964122,2.0
105,39049006710,+40.0876281,-083.0127650,193,39049008163,+39.9404250,-083.1362465,2.0
111,39049006910,+40.0876272,-083.0262338,166,39049007551,+40.0258470,-082.9209676,2.0
158,39049007511,+40.0076485,-082.9586431,278,39049010400,+40.1246594,-083.1607484,2.0
160,39049007520,+40.0176977,-082.9471745,174,39049007820,+40.0219457,-083.0264862,2.0
163,39049007533,+40.0432565,-082.9404231,79,39049006230,+40.0793948,-083.1737874,2.0
172,39049007811,+40.0347566,-083.0435104,193,39049008163,+39.9404250,-083.1362465,2.0
203,39049008330,+39.9367638,-083.0447325,193,39049008163,+39.9404250,-083.1362465,2.0
203,39049008330,+39.9367638,-083.0447325,278,39049010400,+40.1246594,-083.1607484,2.0
214,39049008811,+39.9076058,-082.9747611,192,39049008162,+39.9193520,-083.1964122,2.0
215,39049008812,+39.9109973,-082.9391043,79,39049006230,+40.0793948,-083.1737874,2.0
236,39049009332,+39.9375277,-082.9231700,193,39049008163,+39.9404250,-083.1362465,1.7000000000000028
252,39049009384,+39.9505192,-082.8120628,79,39049006230,+40.0793948,-083.1737874,2.0
262,39049009497,+39.8269365,-082.8628120,192,39049008162,+39.9193520,-083.1964122,1.7000000000000028
262,39049009497,+39.8269365,-082.8628120,193,39049008163,+39.9404250,-083.1362465,0.29999999999999716
267,39049009712,+39.8800429,-083.0757550,193,39049008163,+39.9404250,-083.1362465,2.0
283,39049980000,+39.9934187,-082.8885328,269,39049009740,+39.8422511,-083.0395690,2.0
