start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
0,39049000110,+40.0589918,-083.0127611,59,39049004700,+39.9501843,-083.0636491,1.0
0,39049000110,+40.0589918,-083.0127611,99,39049006395,+40.0703960,-083.0864651,2.0
0,39049000110,+40.0589918,-083.0127611,184,39049007954,+39.9957830,-083.1449176,1.0
0,39049000110,+40.0589918,-083.0127611,194,39049008164,+39.9338674,-083.1338778,1.0
1,39049000120,+40.0510465,-083.0236812,59,39049004700,+39.9501843,-083.0636491,1.0
1,39049000120,+40.0510465,-083.0236812,155,39049007427,+40.0046374,-082.8564221,2.0
1,39049000120,+40.0510465,-083.0236812,194,39049008164,+39.9338674,-083.1338778,1.0
1,39049000120,+40.0510465,-083.0236812,199,39049008311,+39.9417347,-083.1024707,2.0
2,39049000210,+40.0438151,-083.0050977,99,39049006395,+40.0703960,-083.0864651,2.0
3,39049000220,+40.0369883,-083.0113311,59,39049004700,+39.9501843,-083.0636491,1.0
3,39049000220,+40.0369883,-083.0113311,117,39049006933,+40.0634418,-082.9653429,2.0
4,39049000310,+40.0361932,-082.9938588,47,39049002900,+39.9757645,-082.9751700,2.0
4,39049000310,+40.0361932,-082.9938588,77,39049006100,+39.9255085,-082.9905758,2.0
4,39049000310,+40.0361932,-082.9938588,131,39049007112,+40.0723936,-082.9426101,1.0
4,39049000310,+40.0361932,-082.9938588,155,39049007427,+40.0046374,-082.8564221,2.0
4,39049000310,+40.0361932,-082.9938588,247,39049009373,+39.9147343,-082.8492315,1.0
5,39049000320,+40.0381592,-082.9834210,59,39049004700,+39.9501843,-083.0636491,1.0
5,39049000320,+40.0381592,-082.9834210,247,39049009373,+39.9147343,-082.8492315,1.0
5,39049000320,+40.0381592,-082.9834210,279,39049010500,+40.1098381,-083.1427495,1.0
6,39049000330,+40.0278720,-082.9858868,16,39049000910,+40.0162410,-082.9733326,2.0
6,39049000330,+40.0278720,-082.9858868,63,39049005000,+39.9539794,-083.0297042,2.0
6,39049000330,+40.0278720,-082.9858868,121,39049006945,+40.0925469,-082.9580378,1.0
7,39049000410,+40.0289957,-083.0194484,121,39049006945,+40.0925469,-082.9580378,1.0
7,39049000410,+40.0289957,-083.0194484,194,39049008164,+39.9338674,-083.1338778,1.0
8,39049000420,+40.0276642,-083.0062522,258,39049009430,+39.8982554,-082.9094211,1.0
9,39049000500,+40.0208195,-083.0082107,155,39049007427,+40.0046374,-082.8564221,2.0
9,39049000500,+40.0208195,-083.0082107,248,39049009374,+39.9255728,-082.8288008,1.0
10,39049000600,+40.0158960,-083.0059730,155,39049007427,+40.0046374,-082.8564221,2.0
11,39049000710,+40.0192278,-082.9890673,200,39049008312,+39.9352608,-083.0949072,2.0
11,39049000710,+40.0192278,-082.9890673,279,39049010500,+40.1098381,-083.1427495,1.0
12,39049000720,+40.0046846,-082.9869745,190,39049008142,+39.9693378,-083.1406324,1.0
12,39049000720,+40.0046846,-082.9869745,269,39049009740,+39.8422511,-083.0395690,1.0
12,39049000720,+40.0046846,-082.9869745,276,39049010200,+39.8881595,-082.8310039,1.0
13,39049000730,+40.0050776,-082.9736696,225,39049009230,+39.9638341,-082.8914879,2.0
13,39049000730,+40.0050776,-082.9736696,278,39049010400,+40.1246594,-083.1607484,2.0
14,39049000810,+40.0265433,-082.9761993,69,39049005500,+39.9460765,-082.9603156,1.0
14,39049000810,+40.0265433,-082.9761993,77,39049006100,+39.9255085,-082.9905758,2.0
14,39049000810,+40.0265433,-082.9761993,121,39049006945,+40.0925469,-082.9580378,1.0
14,39049000810,+40.0265433,-082.9761993,223,39049009210,+39.9785878,-082.8767518,2.0
15,39049000820,+40.0257183,-082.9631919,25,39049001500,+39.9916118,-082.9778815,2.0
15,39049000820,+40.0257183,-082.9631919,240,39049009337,+39.9212215,-082.9106815,2.0
16,39049000910,+40.0162410,-082.9733326,200,39049008312,+39.9352608,-083.0949072,2.0
17,39049000920,+40.0163266,-082.9626323,258,39049009430,+39.8982554,-082.9094211,1.0
18,39049001000,+40.0096828,-083.0031623,25,39049001500,+39.9916118,-082.9778815,2.0
18,39049001000,+40.0096828,-083.0031623,196,39049008230,+39.9464381,-083.1161246,2.0
18,39049001000,+40.0096828,-083.0031623,258,39049009430,+39.8982554,-082.9094211,1.0
18,39049001000,+40.0096828,-083.0031623,279,39049010500,+40.1098381,-083.1427495,1.0
19,39049001110,+40.0091635,-083.0142462,56,39049004500,+39.9583312,-083.0663570,2.0
19,39049001110,+40.0091635,-083.0142462,164,39049007534,+40.0325524,-082.9464802,2.0
19,39049001110,+40.0091635,-083.0142462,200,39049008312,+39.9352608,-083.0949072,2.0
19,39049001110,+40.0091635,-083.0142462,205,39049008350,+39.9244034,-083.1061950,2.0
19,39049001110,+40.0091635,-083.0142462,279,39049010500,+40.1098381,-083.1427495,1.0
