start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
0,39049000110,+40.0589918,-083.0127611,69,39049005500,+39.9460765,-082.9603156,3.0
1,39049000120,+40.0510465,-083.0236812,166,39049007551,+40.0258470,-082.9209676,3.0
3,39049000220,+40.0369883,-083.0113311,164,39049007534,+40.0325524,-082.9464802,3.0
4,39049000310,+40.0361932,-082.9938588,260,39049009450,+39.8465890,-082.8213099,3.0
5,39049000320,+40.0381592,-082.9834210,258,39049009430,+39.8982554,-082.9094211,3.0
6,39049000330,+40.0278720,-082.9858868,128,39049007044,+40.1298195,-083.0048612,3.0
6,39049000330,+40.0278720,-082.9858868,258,39049009430,+39.8982554,-082.9094211,3.0
6,39049000330,+40.0278720,-082.9858868,260,39049009450,+39.8465890,-082.8213099,3.0
7,39049000410,+40.0289957,-083.0194484,38,39049002600,+39.9883334,-082.9252448,1.0
7,39049000410,+40.0289957,-083.0194484,63,39049005000,+39.9539794,-083.0297042,2.0
7,39049000410,+40.0289957,-083.0194484,90,39049006372,+40.0696870,-083.0994840,3.0
9,39049000500,+40.0208195,-083.0082107,188,39049008132,+39.9413151,-083.1492604,3.0
9,39049000500,+40.0208195,-083.0082107,212,39049008720,+39.9252119,-082.9684863,3.0
10,39049000600,+40.0158960,-083.0059730,117,39049006933,+40.0634418,-082.9653429,3.0
11,39049000710,+40.0192278,-082.9890673,248,39049009374,+39.9255728,-082.8288008,3.0
13,39049000730,+40.0050776,-082.9736696,245,39049009371,+39.9432855,-082.8386795,3.0
13,39049000730,+40.0050776,-082.9736696,279,39049010500,+40.1098381,-083.1427495,2.0
14,39049000810,+40.0265433,-082.9761993,109,39049006821,+40.0693498,-083.0255247,3.0
14,39049000810,+40.0265433,-082.9761993,155,39049007427,+40.0046374,-082.8564221,3.0
14,39049000810,+40.0265433,-082.9761993,188,39049008132,+39.9413151,-083.1492604,3.0
15,39049000820,+40.0257183,-082.9631919,134,39049007115,+40.0869438,-082.9401113,2.0
15,39049000820,+40.0257183,-082.9631919,191,39049008161,+39.9003778,-083.1397256,3.0
15,39049000820,+40.0257183,-082.9631919,258,39049009430,+39.8982554,-082.9094211,3.0
16,39049000910,+40.0162410,-082.9733326,146,39049007209,+40.0672159,-082.8541782,3.0
17,39049000920,+40.0163266,-082.9626323,150,39049007395,+39.9905848,-082.8081891,3.0
17,39049000920,+40.0163266,-082.9626323,151,39049007396,+40.0133020,-082.7937913,3.0
18,39049001000,+40.0096828,-083.0031623,205,39049008350,+39.9244034,-083.1061950,2.599999999999909
18,39049001000,+40.0096828,-083.0031623,248,39049009374,+39.9255728,-082.8288008,0.40000000000009084
19,39049001110,+40.0091635,-083.0142462,136,39049007132,+40.0701570,-082.8813197,2.0
19,39049001110,+40.0091635,-083.0142462,164,39049007534,+40.0325524,-082.9464802,2.0
19,39049001110,+40.0091635,-083.0142462,269,39049009740,+39.8422511,-083.0395690,3.0
20,39049001121,+39.9998914,-083.0128050,279,39049010500,+40.1098381,-083.1427495,2.0
21,39049001122,+40.0126073,-083.0330559,205,39049008350,+39.9244034,-083.1061950,3.0
22,39049001200,+40.0038089,-083.0017603,134,39049007115,+40.0869438,-082.9401113,2.0
22,39049001200,+40.0038089,-083.0017603,196,39049008230,+39.9464381,-083.1161246,3.0
23,39049001300,+39.9983165,-083.0011748,117,39049006933,+40.0634418,-082.9653429,3.0
23,39049001300,+39.9983165,-083.0011748,136,39049007132,+40.0701570,-082.8813197,2.0
23,39049001300,+39.9983165,-083.0011748,265,39049009600,+39.8889368,-083.1000182,3.0
23,39049001300,+39.9983165,-083.0011748,279,39049010500,+40.1098381,-083.1427495,2.0
24,39049001400,+39.9952118,-082.9871075,190,39049008142,+39.9693378,-083.1406324,2.0
24,39049001400,+39.9952118,-082.9871075,194,39049008164,+39.9338674,-083.1338778,2.0
25,39049001500,+39.9916118,-082.9778815,51,39049003700,+39.9627013,-082.9535872,3.0
25,39049001500,+39.9916118,-082.9778815,63,39049005000,+39.9539794,-083.0297042,3.0
25,39049001500,+39.9916118,-082.9778815,190,39049008142,+39.9693378,-083.1406324,3.0
26,39049001600,+39.9913243,-082.9979222,117,39049006933,+40.0634418,-082.9653429,1.0
26,39049001600,+39.9913243,-082.9979222,196,39049008230,+39.9464381,-083.1161246,2.0
28,39049001810,+39.9922086,-083.0116136,128,39049007044,+40.1298195,-083.0048612,3.0
28,39049001810,+39.9922086,-083.0116136,205,39049008350,+39.9244034,-083.1061950,3.0
28,39049001810,+39.9922086,-083.0116136,248,39049009374,+39.9255728,-082.8288008,3.0
29,39049001820,+39.9879140,-083.0142071,99,39049006395,+40.0703960,-083.0864651,3.0
29,39049001820,+39.9879140,-083.0142071,136,39049007132,+40.0701570,-082.8813197,2.0
30,39049001901,+39.9862065,-083.0306583,18,39049001000,+40.0096828,-083.0031623,3.0
30,39049001901,+39.9862065,-083.0306583,276,39049010200,+39.8881595,-082.8310039,2.0
31,39049001902,+39.9891497,-083.0475533,184,39049007954,+39.9957830,-083.1449176,1.0
31,39049001902,+39.9891497,-083.0475533,225,39049009230,+39.9638341,-082.8914879,3.0
32,39049002000,+39.9820617,-083.0140758,128,39049007044,+40.1298195,-083.0048612,3.0
33,39049002100,+39.9788975,-083.0072144,59,39049004700,+39.9501843,-083.0636491,3.0
33,39049002100,+39.9788975,-083.0072144,116,39049006932,+40.0729849,-082.9636949,3.0
33,39049002100,+39.9788975,-083.0072144,164,39049007534,+40.0325524,-082.9464802,3.0
34,39049002200,+39.9826700,-082.9996446,248,39049009374,+39.9255728,-082.8288008,3.0
34,39049002200,+39.9826700,-082.9996446,278,39049010400,+40.1246594,-083.1607484,2.0
35,39049002300,+39.9814177,-082.9723053,10,39049000600,+40.0158960,-083.0059730,2.0
35,39049002300,+39.9814177,-082.9723053,194,39049008164,+39.9338674,-083.1338778,2.0
35,39049002300,+39.9814177,-082.9723053,199,39049008311,+39.9417347,-083.1024707,1.0
36,39049002510,+39.9904547,-082.9524993,38,39049002600,+39.9883334,-082.9252448,3.0
36,39049002510,+39.9904547,-082.9524993,151,39049007396,+40.0133020,-082.7937913,2.0
37,39049002520,+39.9752413,-082.9524679,150,39049007395,+39.9905848,-082.8081891,2.0
37,39049002520,+39.9752413,-082.9524679,205,39049008350,+39.9244034,-083.1061950,3.0
37,39049002520,+39.9752413,-082.9524679,258,39049009430,+39.8982554,-082.9094211,1.0
37,39049002520,+39.9752413,-082.9524679,279,39049010500,+40.1098381,-083.1427495,2.0
38,39049002600,+39.9883334,-082.9252448,91,39049006383,+40.1225062,-083.0948987,3.0
38,39049002600,+39.9883334,-082.9252448,99,39049006395,+40.0703960,-083.0864651,1.0
38,39049002600,+39.9883334,-082.9252448,116,39049006932,+40.0729849,-082.9636949,2.0
39,39049002710,+39.9799914,-082.9192524,47,39049002900,+39.9757645,-082.9751700,3.0
39,39049002710,+39.9799914,-082.9192524,269,39049009740,+39.8422511,-083.0395690,3.0
39,39049002710,+39.9799914,-082.9192524,278,39049010400,+40.1246594,-083.1607484,2.0
41,39049002740,+39.9691558,-082.9184186,63,39049005000,+39.9539794,-083.0297042,3.0
42,39049002750,+39.9629669,-082.9081509,99,39049006395,+40.0703960,-083.0864651,1.0
42,39049002750,+39.9629669,-082.9081509,109,39049006821,+40.0693498,-083.0255247,2.0
42,39049002750,+39.9629669,-082.9081509,168,39049007721,+40.0550543,-082.9665635,3.0
42,39049002750,+39.9629669,-082.9081509,200,39049008312,+39.9352608,-083.0949072,2.0
42,39049002750,+39.9629669,-082.9081509,265,39049009600,+39.8889368,-083.1000182,3.0
44,39049002770,+39.9516772,-082.9101679,151,39049007396,+40.0133020,-082.7937913,2.0
44,39049002770,+39.9516772,-082.9101679,205,39049008350,+39.9244034,-083.1061950,3.0
44,39049002770,+39.9516772,-082.9101679,240,39049009337,+39.9212215,-082.9106815,3.0
44,39049002770,+39.9516772,-082.9101679,278,39049010400,+40.1246594,-083.1607484,2.0
45,39049002780,+39.9439852,-082.9288221,116,39049006932,+40.0729849,-082.9636949,3.0
45,39049002780,+39.9439852,-082.9288221,117,39049006933,+40.0634418,-082.9653429,3.0
45,39049002780,+39.9439852,-082.9288221,166,39049007551,+40.0258470,-082.9209676,3.0
45,39049002780,+39.9439852,-082.9288221,188,39049008132,+39.9413151,-083.1492604,3.0
46,39049002800,+39.9730449,-082.9648487,151,39049007396,+40.0133020,-082.7937913,2.0
48,39049003000,+39.9710932,-082.9937788,193,39049008163,+39.9404250,-083.1362465,3.0
48,39049003000,+39.9710932,-082.9937788,278,39049010400,+40.1246594,-083.1607484,2.0
49,39049003200,+39.9714198,-083.0133641,38,39049002600,+39.9883334,-082.9252448,3.0
49,39049003200,+39.9714198,-083.0133641,128,39049007044,+40.1298195,-083.0048612,3.0
49,39049003200,+39.9714198,-083.0133641,136,39049007132,+40.0701570,-082.8813197,2.0
49,39049003200,+39.9714198,-083.0133641,164,39049007534,+40.0325524,-082.9464802,2.0
49,39049003200,+39.9714198,-083.0133641,166,39049007551,+40.0258470,-082.9209676,3.0
50,39049003600,+39.9685662,-082.9752006,88,39049006353,+40.0585940,-083.0694503,3.0
50,39049003600,+39.9685662,-082.9752006,190,39049008142,+39.9693378,-083.1406324,2.0
50,39049003600,+39.9685662,-082.9752006,249,39049009381,+39.9689202,-082.8132180,2.0
51,39049003700,+39.9627013,-082.9535872,192,39049008162,+39.9193520,-083.1964122,3.0
51,39049003700,+39.9627013,-082.9535872,194,39049008164,+39.9338674,-083.1338778,2.0
51,39049003700,+39.9627013,-082.9535872,278,39049010400,+40.1246594,-083.1607484,2.0
52,39049003800,+39.9628511,-082.9736398,223,39049009210,+39.9785878,-082.8767518,3.0
52,39049003800,+39.9628511,-082.9736398,247,39049009373,+39.9147343,-082.8492315,3.0
53,39049004000,+39.9578076,-082.9938952,151,39049007396,+40.0133020,-082.7937913,3.0
55,39049004300,+39.9690009,-083.0471008,69,39049005500,+39.9460765,-082.9603156,3.0
57,39049004610,+39.9481019,-083.0842653,99,39049006395,+40.0703960,-083.0864651,3.0
59,39049004700,+39.9501843,-083.0636491,199,39049008311,+39.9417347,-083.1024707,3.0
59,39049004700,+39.9501843,-083.0636491,200,39049008312,+39.9352608,-083.0949072,2.0
