start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
3,39049000220,+40.0369883,-083.0113311,166,39049007551,+40.0258470,-082.9209676,3.0
6,39049000330,+40.0278720,-082.9858868,279,39049010500,+40.1098381,-083.1427495,3.0
9,39049000500,+40.0208195,-083.0082107,192,39049008162,+39.9193520,-083.1964122,3.0
14,39049000810,+40.0265433,-082.9761993,193,39049008163,+39.9404250,-083.1362465,3.0
16,39049000910,+40.0162410,-082.9733326,79,39049006230,+40.0793948,-083.1737874,1.0
16,39049000910,+40.0162410,-082.9733326,278,39049010400,+40.1246594,-083.1607484,2.0
17,39049000920,+40.0163266,-082.9626323,192,39049008162,+39.9193520,-083.1964122,3.0
19,39049001110,+40.0091635,-083.0142462,115,39049006931,+40.0817154,-082.9672126,3.0
25,39049001500,+39.9916118,-082.9778815,188,39049008132,+39.9413151,-083.1492604,3.0
28,39049001810,+39.9922086,-083.0116136,278,39049010400,+40.1246594,-083.1607484,3.0
32,39049002000,+39.9820617,-083.0140758,79,39049006230,+40.0793948,-083.1737874,3.0
33,39049002100,+39.9788975,-083.0072144,166,39049007551,+40.0258470,-082.9209676,3.0
39,39049002710,+39.9799914,-082.9192524,115,39049006931,+40.0817154,-082.9672126,3.0
42,39049002750,+39.9629669,-082.9081509,265,39049009600,+39.8889368,-083.1000182,2.0
44,39049002770,+39.9516772,-082.9101679,121,39049006945,+40.0925469,-082.9580378,3.0
45,39049002780,+39.9439852,-082.9288221,38,39049002600,+39.9883334,-082.9252448,3.0
45,39049002780,+39.9439852,-082.9288221,276,39049010200,+39.8881595,-082.8310039,3.0
49,39049003200,+39.9714198,-083.0133641,278,39049010400,+40.1246594,-083.1607484,3.0
52,39049003800,+39.9628511,-082.9736398,59,39049004700,+39.9501843,-083.0636491,3.0
53,39049004000,+39.9578076,-082.9938952,192,39049008162,+39.9193520,-083.1964122,3.0
64,39049005100,+39.9427460,-083.0214223,279,39049010500,+40.1098381,-083.1427495,3.0
66,39049005300,+39.9553231,-082.9740477,115,39049006931,+40.0817154,-082.9672126,3.0
68,39049005420,+39.9511046,-082.9555735,38,39049002600,+39.9883334,-082.9252448,3.0
68,39049005420,+39.9511046,-082.9555735,79,39049006230,+40.0793948,-083.1737874,1.0
68,39049005420,+39.9511046,-082.9555735,115,39049006931,+40.0817154,-082.9672126,3.0
68,39049005420,+39.9511046,-082.9555735,279,39049010500,+40.1098381,-083.1427495,2.0
75,39049005900,+39.9391312,-082.9688229,79,39049006230,+40.0793948,-083.1737874,3.0
77,39049006100,+39.9255085,-082.9905758,79,39049006230,+40.0793948,-083.1737874,3.0
80,39049006236,+40.1319019,-083.1384513,276,39049010200,+39.8881595,-082.8310039,3.0
