start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
11,39049000710,+40.0192278,-082.9890673,265,39049009600,+39.8889368,-083.1000182,2.0
12,39049000720,+40.0046846,-082.9869745,276,39049010200,+39.8881595,-082.8310039,2.0
13,39049000730,+40.0050776,-082.9736696,278,39049010400,+40.1246594,-083.1607484,2.0
18,39049001000,+40.0096828,-083.0031623,265,39049009600,+39.8889368,-083.1000182,2.0
19,39049001110,+40.0091635,-083.0142462,59,39049004700,+39.9501843,-083.0636491,2.0
19,39049001110,+40.0091635,-083.0142462,166,39049007551,+40.0258470,-082.9209676,2.0
20,39049001121,+39.9998914,-083.0128050,79,39049006230,+40.0793948,-083.1737874,2.0
22,39049001200,+40.0038089,-083.0017603,121,39049006945,+40.0925469,-082.9580378,2.0
23,39049001300,+39.9983165,-083.0011748,79,39049006230,+40.0793948,-083.1737874,2.0
23,39049001300,+39.9983165,-083.0011748,276,39049010200,+39.8881595,-082.8310039,2.0
24,39049001400,+39.9952118,-082.9871075,192,39049008162,+39.9193520,-083.1964122,2.0
24,39049001400,+39.9952118,-082.9871075,193,39049008163,+39.9404250,-083.1362465,2.0
29,39049001820,+39.9879140,-083.0142071,276,39049010200,+39.8881595,-082.8310039,2.0
34,39049002200,+39.9826700,-082.9996446,278,39049010400,+40.1246594,-083.1607484,2.0
35,39049002300,+39.9814177,-082.9723053,193,39049008163,+39.9404250,-083.1362465,2.0
36,39049002510,+39.9904547,-082.9524993,115,39049006931,+40.0817154,-082.9672126,2.0
37,39049002520,+39.9752413,-082.9524679,79,39049006230,+40.0793948,-083.1737874,2.0
39,39049002710,+39.9799914,-082.9192524,278,39049010400,+40.1246594,-083.1607484,2.0
44,39049002770,+39.9516772,-082.9101679,79,39049006230,+40.0793948,-083.1737874,2.0
44,39049002770,+39.9516772,-082.9101679,115,39049006931,+40.0817154,-082.9672126,2.0
44,39049002770,+39.9516772,-082.9101679,265,39049009600,+39.8889368,-083.1000182,2.0
46,39049002800,+39.9730449,-082.9648487,115,39049006931,+40.0817154,-082.9672126,2.0
48,39049003000,+39.9710932,-082.9937788,79,39049006230,+40.0793948,-083.1737874,2.0
49,39049003200,+39.9714198,-083.0133641,166,39049007551,+40.0258470,-082.9209676,2.0
49,39049003200,+39.9714198,-083.0133641,276,39049010200,+39.8881595,-082.8310039,2.0
50,39049003600,+39.9685662,-082.9752006,192,39049008162,+39.9193520,-083.1964122,2.0
51,39049003700,+39.9627013,-082.9535872,193,39049008163,+39.9404250,-083.1362465,2.0
51,39049003700,+39.9627013,-082.9535872,278,39049010400,+40.1246594,-083.1607484,2.0
52,39049003800,+39.9628511,-082.9736398,121,39049006945,+40.0925469,-082.9580378,2.0
64,39049005100,+39.9427460,-083.0214223,193,39049008163,+39.9404250,-083.1362465,2.0
67,39049005410,+39.9555588,-082.9538281,174,39049007820,+40.0219457,-083.0264862,2.0
67,39049005410,+39.9555588,-082.9538281,192,39049008162,+39.9193520,-083.1964122,2.0
69,39049005500,+39.9460765,-082.9603156,79,39049006230,+40.0793948,-083.1737874,2.0
70,39049005610,+39.9473894,-082.9781077,174,39049007820,+40.0219457,-083.0264862,2.0
71,39049005620,+39.9399965,-082.9784131,121,39049006945,+40.0925469,-082.9580378,2.0
71,39049005620,+39.9399965,-082.9784131,278,39049010400,+40.1246594,-083.1607484,2.0
76,39049006000,+39.9317195,-082.9775299,79,39049006230,+40.0793948,-083.1737874,2.0
79,39049006230,+40.0793948,-083.1737874,265,39049009600,+39.8889368,-083.1000182,2.0
80,39049006236,+40.1319019,-083.1384513,193,39049008163,+39.9404250,-083.1362465,2.0
82,39049006321,+40.0375261,-083.0573697,193,39049008163,+39.9404250,-083.1362465,2.0
87,39049006352,+40.0552211,-083.0504838,276,39049010200,+39.8881595,-082.8310039,2.0
93,39049006386,+40.1021432,-083.0837988,121,39049006945,+40.0925469,-082.9580378,2.0
95,39049006391,+40.1265761,-083.0491177,265,39049009600,+39.8889368,-083.1000182,2.0
101,39049006410,+40.0117459,-083.0823861,192,39049008162,+39.9193520,-083.1964122,2.0
103,39049006500,+40.0045889,-083.0676698,166,39049007551,+40.0258470,-082.9209676,2.0
104,39049006600,+39.9961241,-083.0598240,192,39049008162,+39.9193520,-083.1964122,2.0
105,39049006710,+40.0876281,-083.0127650,193,39049008163,+39.9404250,-083.1362465,2.0
108,39049006810,+40.0786666,-083.0144828,276,39049010200,+39.8881595,-082.8310039,1.4000000000000057
111,39049006910,+40.0876272,-083.0262338,166,39049007551,+40.0258470,-082.9209676,2.0
122,39049006950,+40.0776045,-083.0417636,121,39049006945,+40.0925469,-082.9580378,2.0
133,39049007114,+40.0985160,-082.9354723,265,39049009600,+39.8889368,-083.1000182,2.0
137,39049007193,+40.1184334,-082.9018765,121,39049006945,+40.0925469,-082.9580378,2.0
157,39049007494,+40.0432805,-082.8990668,265,39049009600,+39.8889368,-083.1000182,2.0
158,39049007511,+40.0076485,-082.9586431,79,39049006230,+40.0793948,-083.1737874,2.0
158,39049007511,+40.0076485,-082.9586431,115,39049006931,+40.0817154,-082.9672126,2.0
158,39049007511,+40.0076485,-082.9586431,121,39049006945,+40.0925469,-082.9580378,2.0
160,39049007520,+40.0176977,-082.9471745,174,39049007820,+40.0219457,-083.0264862,2.0
163,39049007533,+40.0432565,-082.9404231,278,39049010400,+40.1246594,-083.1607484,2.0
172,39049007811,+40.0347566,-083.0435104,193,39049008163,+39.9404250,-083.1362465,2.0
180,39049007941,+40.0007972,-083.1005867,265,39049009600,+39.8889368,-083.1000182,2.0
195,39049008210,+39.9613051,-083.1031846,121,39049006945,+40.0925469,-082.9580378,2.0
203,39049008330,+39.9367638,-083.0447325,79,39049006230,+40.0793948,-083.1737874,2.0
203,39049008330,+39.9367638,-083.0447325,193,39049008163,+39.9404250,-083.1362465,2.0
210,39049008500,+39.9754916,-083.0332482,265,39049009600,+39.8889368,-083.1000182,2.0
213,39049008730,+39.9241408,-082.9439885,59,39049004700,+39.9501843,-083.0636491,2.0
214,39049008811,+39.9076058,-082.9747611,192,39049008162,+39.9193520,-083.1964122,2.0
215,39049008812,+39.9109973,-082.9391043,121,39049006945,+40.0925469,-082.9580378,2.0
215,39049008812,+39.9109973,-082.9391043,278,39049010400,+40.1246594,-083.1607484,2.0
234,39049009326,+39.9211238,-082.8701821,115,39049006931,+40.0817154,-082.9672126,2.0
235,39049009331,+39.9478520,-082.9012011,276,39049010200,+39.8881595,-082.8310039,2.0
236,39049009332,+39.9375277,-082.9231700,193,39049008163,+39.9404250,-083.1362465,2.0
238,39049009334,+39.9374948,-082.9012468,115,39049006931,+40.0817154,-082.9672126,2.0
250,39049009382,+39.9638940,-082.8004992,121,39049006945,+40.0925469,-082.9580378,2.0
252,39049009384,+39.9505192,-082.8120628,79,39049006230,+40.0793948,-083.1737874,2.0
255,39049009390,+39.9746812,-082.7918595,265,39049009600,+39.8889368,-083.1000182,2.0
262,39049009497,+39.8269365,-082.8628120,192,39049008162,+39.9193520,-083.1964122,2.0
262,39049009497,+39.8269365,-082.8628120,276,39049010200,+39.8881595,-082.8310039,2.0
267,39049009712,+39.8800429,-083.0757550,192,39049008162,+39.9193520,-083.1964122,2.0
273,39049009900,+40.1006376,-082.9891185,276,39049010200,+39.8881595,-082.8310039,2.0
275,39049010100,+40.0443362,-082.9168671,59,39049004700,+39.9501843,-083.0636491,1.4000000000000057
275,39049010100,+40.0443362,-082.9168671,276,39049010200,+39.8881595,-082.8310039,0.5999999999999943
282,39049010700,+40.0659949,-083.0083600,276,39049010200,+39.8881595,-082.8310039,2.0
283,39049980000,+39.9934187,-082.8885328,269,39049009740,+39.8422511,-083.0395690,2.0
