k,start_id,start_geoid,end_id,end_geoid,density
13,264,39049009590,212,39049008720,3.0
23,265,39049009600,117,39049006933,2.0
23,265,39049009600,196,39049008230,1.0
20,267,39049009712,184,39049007954,3.0
3,267,39049009712,279,39049010500,3.0
8,268,39049009720,121,39049006945,3.0
18,270,39049009751,25,39049001500,3.0
26,270,39049009751,190,39049008142,3.0
12,270,39049009751,194,39049008164,3.0
19,272,39049009800,109,39049006821,3.0
8,273,39049009900,240,39049009337,3.0
16,275,39049010100,59,39049004700,3.0
19,275,39049010100,116,39049006932,3.0
23,276,39049010200,225,39049009230,3.0
16,280,39049010601,18,39049001000,3.0
5,280,39049010601,91,39049006383,2.0
8,280,39049010601,134,39049007115,3.0
5,280,39049010601,166,39049007551,1.0
16,281,39049010602,38,39049002600,3.0
2,281,39049010602,160,39049007520,2.0
12,282,39049010700,187,39049008120,3.0
