start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
0,39049000110,+40.0589918,-083.0127611,116,39049006932,+40.0729849,-082.9636949,2.0
1,39049000120,+40.0510465,-083.0236812,91,39049006383,+40.1225062,-083.0948987,2.0
1,39049000120,+40.0510465,-083.0236812,199,39049008311,+39.9417347,-083.1024707,2.0
2,39049000210,+40.0438151,-083.0050977,79,39049006230,+40.0793948,-083.1737874,2.0
3,39049000220,+40.0369883,-083.0113311,117,39049006933,+40.0634418,-082.9653429,2.0
4,39049000310,+40.0361932,-082.9938588,63,39049005000,+39.9539794,-083.0297042,2.0
4,39049000310,+40.0361932,-082.9938588,91,39049006383,+40.1225062,-083.0948987,2.0
4,39049000310,+40.0361932,-082.9938588,200,39049008312,+39.9352608,-083.0949072,2.0
6,39049000330,+40.0278720,-082.9858868,38,39049002600,+39.9883334,-082.9252448,2.0
6,39049000330,+40.0278720,-082.9858868,248,39049009374,+39.9255728,-082.8288008,2.0
9,39049000500,+40.0208195,-083.0082107,88,39049006353,+40.0585940,-083.0694503,2.0
10,39049000600,+40.0158960,-083.0059730,88,39049006353,+40.0585940,-083.0694503,2.0
11,39049000710,+40.0192278,-082.9890673,25,39049001500,+39.9916118,-082.9778815,2.0
12,39049000720,+40.0046846,-082.9869745,166,39049007551,+40.0258470,-082.9209676,2.0
13,39049000730,+40.0050776,-082.9736696,196,39049008230,+39.9464381,-083.1161246,2.0
13,39049000730,+40.0050776,-082.9736696,278,39049010400,+40.1246594,-083.1607484,2.0
14,39049000810,+40.0265433,-082.9761993,63,39049005000,+39.9539794,-083.0297042,2.0
14,39049000810,+40.0265433,-082.9761993,193,39049008163,+39.9404250,-083.1362465,2.0
15,39049000820,+40.0257183,-082.9631919,134,39049007115,+40.0869438,-082.9401113,2.0
15,39049000820,+40.0257183,-082.9631919,265,39049009600,+39.8889368,-083.1000182,2.0
16,39049000910,+40.0162410,-082.9733326,200,39049008312,+39.9352608,-083.0949072,2.0
18,39049001000,+40.0096828,-083.0031623,196,39049008230,+39.9464381,-083.1161246,2.0
18,39049001000,+40.0096828,-083.0031623,265,39049009600,+39.8889368,-083.1000182,2.0
19,39049001110,+40.0091635,-083.0142462,25,39049001500,+39.9916118,-082.9778815,2.0
19,39049001110,+40.0091635,-083.0142462,247,39049009373,+39.9147343,-082.8492315,2.0
19,39049001110,+40.0091635,-083.0142462,248,39049009374,+39.9255728,-082.8288008,2.0
