start_id,start_geoid,start_lat,start_lon,end_id,end_geoid,end_lat,end_lon,density
0,39049000110,+40.0589918,-083.0127611,20,39049001121,+39.9998914,-083.0128050,1.0
0,39049000110,+40.0589918,-083.0127611,86,39049006351,+40.0664173,-083.0541570,1.0
0,39049000110,+40.0589918,-083.0127611,99,39049006395,+40.0703960,-083.0864651,2.0
0,39049000110,+40.0589918,-083.0127611,195,39049008210,+39.9613051,-083.1031846,1.0
0,39049000110,+40.0589918,-083.0127611,247,39049009373,+39.9147343,-082.8492315,3.0
1,39049000120,+40.0510465,-083.0236812,18,39049001000,+40.0096828,-083.0031623,1.0
1,39049000120,+40.0510465,-083.0236812,151,39049007396,+40.0133020,-082.7937913,0.800000000000182
1,39049000120,+40.0510465,-083.0236812,187,39049008120,+39.9469893,-083.1294798,1.0
1,39049000120,+40.0510465,-083.0236812,194,39049008164,+39.9338674,-083.1338778,2.0
1,39049000120,+40.0510465,-083.0236812,205,39049008350,+39.9244034,-083.1061950,1.0
1,39049000120,+40.0510465,-083.0236812,206,39049008360,+39.9230633,-083.0800991,2.0
1,39049000120,+40.0510465,-083.0236812,243,39049009361,+39.9686043,-082.8511374,2.199999999999818
2,39049000210,+40.0438151,-083.0050977,99,39049006395,+40.0703960,-083.0864651,2.0
3,39049000220,+40.0369883,-083.0113311,18,39049001000,+40.0096828,-083.0031623,1.0
3,39049000220,+40.0369883,-083.0113311,46,39049002800,+39.9730449,-082.9648487,1.0
3,39049000220,+40.0369883,-083.0113311,164,39049007534,+40.0325524,-082.9464802,3.0
3,39049000220,+40.0369883,-083.0113311,273,39049009900,+40.1006376,-082.9891185,2.0
4,39049000310,+40.0361932,-082.9938588,63,39049005000,+39.9539794,-083.0297042,1.0
4,39049000310,+40.0361932,-082.9938588,75,39049005900,+39.9391312,-082.9688229,1.0
4,39049000310,+40.0361932,-082.9938588,117,39049006933,+40.0634418,-082.9653429,1.0
4,39049000310,+40.0361932,-082.9938588,166,39049007551,+40.0258470,-082.9209676,2.0
4,39049000310,+40.0361932,-082.9938588,207,39049008370,+39.9082664,-083.0769075,3.0
4,39049000310,+40.0361932,-082.9938588,248,39049009374,+39.9255728,-082.8288008,1.0
4,39049000310,+40.0361932,-082.9938588,248,39049009374,+39.9255728,-082.8288008,2.0
4,39049000310,+40.0361932,-082.9938588,258,39049009430,+39.8982554,-082.9094211,2.0
5,39049000320,+40.0381592,-082.9834210,20,39049001121,+39.9998914,-083.0128050,1.0
5,39049000320,+40.0381592,-082.9834210,69,39049005500,+39.9460765,-082.9603156,1.0
5,39049000320,+40.0381592,-082.9834210,123,39049006990,+40.1163349,-082.9624569,2.0
5,39049000320,+40.0381592,-082.9834210,176,39049007921,+40.0441063,-083.1789442,1.0
5,39049000320,+40.0381592,-082.9834210,245,39049009371,+39.9432855,-082.8386795,1.0
6,39049000330,+40.0278720,-082.9858868,39,39049002710,+39.9799914,-082.9192524,1.0
6,39049000330,+40.0278720,-082.9858868,50,39049003600,+39.9685662,-082.9752006,2.0
6,39049000330,+40.0278720,-082.9858868,109,39049006821,+40.0693498,-083.0255247,3.0
6,39049000330,+40.0278720,-082.9858868,130,39049007048,+40.1254270,-082.9851873,3.0
6,39049000330,+40.0278720,-082.9858868,146,39049007209,+40.0672159,-082.8541782,3.0
6,39049000330,+40.0278720,-082.9858868,208,39049008380,+39.9014345,-083.0276848,2.0
6,39049000330,+40.0278720,-082.9858868,243,39049009361,+39.9686043,-082.8511374,1.0
7,39049000410,+40.0289957,-083.0194484,18,39049001000,+40.0096828,-083.0031623,1.0
7,39049000410,+40.0289957,-083.0194484,77,39049006100,+39.9255085,-082.9905758,2.0
7,39049000410,+40.0289957,-083.0194484,131,39049007112,+40.0723936,-082.9426101,1.0
7,39049000410,+40.0289957,-083.0194484,155,39049007427,+40.0046374,-082.8564221,3.0
7,39049000410,+40.0289957,-083.0194484,190,39049008142,+39.9693378,-083.1406324,1.0
7,39049000410,+40.0289957,-083.0194484,195,39049008210,+39.9613051,-083.1031846,1.0
7,39049000410,+40.0289957,-083.0194484,265,39049009600,+39.8889368,-083.1000182,1.0
8,39049000420,+40.0276642,-083.0062522,117,39049006933,+40.0634418,-082.9653429,1.0
8,39049000420,+40.0276642,-083.0062522,255,39049009390,+39.9746812,-082.7918595,1.0
9,39049000500,+40.0208195,-083.0082107,51,39049003700,+39.9627013,-082.9535872,1.0
9,39049000500,+40.0208195,-083.0082107,195,39049008210,+39.9613051,-083.1031846,3.0
9,39049000500,+40.0208195,-083.0082107,212,39049008720,+39.9252119,-082.9684863,3.0
9,39049000500,+40.0208195,-083.0082107,243,39049009361,+39.9686043,-082.8511374,1.0
9,39049000500,+40.0208195,-083.0082107,255,39049009390,+39.9746812,-082.7918595,2.0
10,39049000600,+40.0158960,-083.0059730,204,39049008340,+39.9247568,-083.0331913,3.0
10,39049000600,+40.0158960,-083.0059730,244,39049009362,+39.9661587,-082.8297284,1.0
10,39049000600,+40.0158960,-083.0059730,258,39049009430,+39.8982554,-082.9094211,2.0
11,39049000710,+40.0192278,-082.9890673,115,39049006931,+40.0817154,-082.9672126,2.0
11,39049000710,+40.0192278,-082.9890673,121,39049006945,+40.0925469,-082.9580378,3.0
11,39049000710,+40.0192278,-082.9890673,172,39049007811,+40.0347566,-083.0435104,1.0
11,39049000710,+40.0192278,-082.9890673,176,39049007921,+40.0441063,-083.1789442,1.0
12,39049000720,+40.0046846,-082.9869745,140,39049007199,+40.0673107,-082.9170110,2.0
12,39049000720,+40.0046846,-082.9869745,148,39049007393,+40.0423174,-082.8434933,1.0
12,39049000720,+40.0046846,-082.9869745,172,39049007811,+40.0347566,-083.0435104,1.0
13,39049000730,+40.0050776,-082.9736696,136,39049007132,+40.0701570,-082.8813197,2.0
13,39049000730,+40.0050776,-082.9736696,150,39049007395,+39.9905848,-082.8081891,3.0
