TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049002000,184,61,0,3,0,2,5,24,1,1,0,0,6,0,2599,163,5,65,1,8,8,30,4,1,0,0,16,0,2837,229,7,69,45,287,2900,3104,83,3187,Net-outflow,-9
39049002100,33,3,0,1,0,0,0,8,0,0,0,0,0,0,1586,44,3,61,0,3,1,21,0,0,0,0,12,0,1648,47,3,62,16,45,1731,1735,41,1776,Net-outflow,-11
39049002200,59,91,0,2,0,0,6,11,0,0,0,0,0,0,1361,174,6,42,1,5,4,24,3,0,0,0,11,0,1455,268,6,45,26,169,1631,1751,49,1800,Net-outflow,-6
39049002300,23,390,5,1,0,0,9,1,2,3,0,0,2,1,137,815,6,13,1,0,2,4,0,2,0,0,5,0,165,1207,16,15,19,437,985,1402,20,1422,Net-outflow,-15
39049002510,70,604,0,9,0,4,4,2,4,4,0,0,39,1,285,1632,3,32,0,2,4,16,19,2,0,0,51,0,373,2259,9,41,105,741,2046,2649,138,2787,Net-inflow,10
39049002520,30,460,1,2,0,0,29,6,13,0,0,0,1,0,408,1565,4,13,1,3,5,16,3,0,0,0,4,0,460,2041,5,16,42,542,2022,2521,43,2564,Net-outflow,-11
39049002600,129,528,5,5,0,3,25,27,14,0,2,0,297,5,705,1621,21,14,0,3,10,97,14,2,6,0,375,1,958,2177,28,27,719,1040,2869,3069,840,3909,Net-inflow,9
39049002710,50,262,6,2,3,6,8,3,7,0,0,0,42,4,312,907,9,9,8,1,10,59,7,0,0,0,86,0,424,1183,15,22,157,393,1408,1593,208,1801,Net-inflow,11
39049002730,82,410,0,7,0,4,25,14,13,0,1,0,20,1,426,917,6,15,1,1,6,49,2,1,0,0,31,2,571,1342,7,24,90,577,1457,1900,134,2034,Net-outflow,-9
39049002740,352,99,0,0,0,5,5,11,2,0,0,0,11,1,1352,383,3,14,1,1,1,26,2,1,1,0,21,0,1741,486,4,16,45,486,1806,2216,76,2292,Net-outflow,-13
39049002750,103,542,1,6,2,1,35,5,6,0,0,0,24,0,537,849,2,35,3,3,6,49,2,0,1,0,41,3,694,1399,3,47,113,725,1531,2125,131,2256,Net-outflow,-18
39049002760,271,271,0,4,1,11,7,10,5,0,0,0,14,1,1407,871,6,28,1,10,5,38,7,2,0,0,33,0,1726,1154,8,34,81,595,2408,2893,110,3003,Net-inflow,5
39049002770,75,384,2,2,0,1,16,2,3,0,0,0,12,0,427,905,5,16,2,5,5,37,3,0,0,0,32,1,541,1295,7,20,72,497,1438,1845,90,1935,Net-outflow,-16
39049002780,120,143,1,5,0,0,4,5,1,0,0,0,3,0,1308,733,1,24,0,3,3,6,0,3,0,0,6,0,1439,877,5,29,19,282,2087,2345,24,2369,Net-outflow,-15
39049002800,30,677,6,1,0,2,19,2,4,0,0,0,6,0,241,1509,9,8,4,4,5,4,4,0,0,0,6,0,277,2194,15,13,42,747,1794,2515,26,2541,Net-inflow,15
39049002900,20,895,2,9,31,4,15,1,20,0,0,0,7,0,72,1168,2,7,20,4,5,4,16,1,4,0,5,0,97,2099,5,71,40,1004,1308,2254,58,2312,Net-inflow,14
39049003000,44,114,1,2,0,0,10,6,1,0,0,0,6,3,1986,660,7,103,0,2,6,46,4,2,1,0,17,0,2082,779,10,106,44,187,2834,2935,86,3021,Net-outflow,-12
39049003200,31,2,0,3,0,4,2,10,0,0,0,0,14,0,1679,142,3,78,0,0,3,81,1,2,2,0,54,0,1801,145,5,83,77,66,2045,1947,164,2111,Net-outflow,-18
39049003600,29,249,1,0,0,3,10,1,2,0,0,0,1,0,198,850,4,4,0,0,6,13,15,1,0,0,2,1,241,1116,6,4,23,296,1094,1354,36,1390,Net-inflow,6
39049003700,103,566,11,2,0,0,20,12,5,0,0,0,2,2,838,1543,8,19,0,1,13,20,1,0,3,0,15,0,973,2115,19,24,53,723,2461,3124,60,3184,Net-inflow,9
39049003800,69,191,0,0,0,1,3,8,2,0,0,0,0,3,865,649,7,11,1,2,2,7,6,0,1,0,5,0,949,848,7,13,16,277,1556,1801,32,1833,Net-outflow,-15
