TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049007193,1275,81,3,22,0,9,30,31,2,0,1,0,8,3,4434,165,6,81,0,3,5,46,1,0,0,0,11,0,5786,249,9,104,69,1465,4752,6114,103,6217,Net-outflow,-13
39049007194,1128,139,0,25,0,9,30,26,3,1,1,0,7,0,4496,296,13,78,0,2,5,39,4,1,1,0,9,0,5689,442,15,105,62,1369,4944,6221,92,6313,Net-outflow,-9
39049007198,531,86,1,17,0,2,27,23,8,0,0,0,8,5,1687,223,2,59,0,0,1,40,0,2,0,0,18,1,2281,317,5,76,62,708,2033,2636,105,2741,Net-inflow,11
39049007199,765,337,3,45,0,6,52,19,6,3,0,0,20,2,2738,806,13,156,1,8,17,78,8,2,0,0,52,1,3600,1157,21,202,158,1258,3880,4947,191,5138,Net-inflow,8
39049007201,125,0,2,5,0,0,1,0,0,0,0,0,0,0,452,7,4,10,0,0,0,0,0,0,0,0,3,0,577,7,6,15,4,133,476,606,3,609,Net-outflow,-6
39049007202,324,296,3,19,0,10,27,13,4,0,0,0,19,2,1305,666,4,54,1,3,6,57,2,0,0,0,35,0,1699,968,7,74,102,717,2133,2718,132,2850,Net-outflow,-11
39049007203,848,43,0,99,2,1,23,11,0,0,0,0,0,0,1899,67,2,162,2,2,4,15,0,0,0,0,4,0,2773,110,2,265,34,1027,2157,3154,30,3184,Net-outflow,-9
39049007205,361,54,0,15,0,3,8,20,2,0,0,0,6,0,2785,218,2,103,1,4,4,31,6,0,1,0,19,0,3197,280,2,120,44,469,3174,3558,85,3643,Net-outflow,-9
39049007207,445,101,0,29,0,1,16,29,0,0,1,0,5,1,2966,300,5,123,0,4,7,41,0,0,0,0,20,0,3481,401,5,153,54,628,3466,3997,97,4094,Net-outflow,-3
39049007209,895,84,2,242,0,3,21,25,2,0,1,0,4,0,3409,381,5,456,3,8,9,65,7,0,0,0,10,0,4394,474,7,702,55,1279,4353,5518,114,5632,Net-inflow,9
39049007210,2364,82,1,155,4,8,42,32,1,0,0,0,13,2,4728,195,4,327,3,5,7,114,1,0,0,0,9,0,7238,279,5,489,86,2704,5393,7925,172,8097,Net-outflow,-8
39049007393,1646,210,3,102,0,5,21,52,7,1,0,0,10,2,5657,536,7,247,0,0,14,65,4,1,0,0,24,0,7420,757,12,349,76,2059,6555,8448,166,8614,Net-inflow,13
39049007394,613,38,2,30,2,1,11,15,4,0,0,0,4,0,1875,99,5,70,2,3,3,6,0,1,0,0,1,0,2509,141,8,104,23,720,2065,2754,31,2785,Net-outflow,-15
39049007395,1604,939,1,48,0,16,79,49,18,2,2,0,42,2,5394,2151,15,254,1,21,31,213,19,0,3,0,78,0,7260,3127,18,308,269,2802,8180,10554,428,10982,Net-inflow,9
39049007396,1740,983,1,41,0,13,56,55,16,0,2,0,20,2,4850,1471,10,189,0,9,19,125,18,3,1,0,34,0,6770,2488,14,233,153,2929,6729,9382,276,9658,Net-inflow,11
39049007424,909,257,1,53,0,4,39,25,10,0,0,0,43,2,3168,544,14,122,1,11,7,79,0,0,0,0,59,0,4181,811,15,176,165,1343,4005,5130,218,5348,Net-inflow,16
39049007425,517,96,1,5,0,3,19,18,0,0,0,0,15,2,1836,191,7,36,0,1,5,33,5,0,0,0,23,0,2404,292,8,41,68,676,2137,2717,96,2813,Net-outflow,-7
39049007426,474,49,2,16,0,9,16,11,0,0,0,0,5,0,2021,105,3,24,1,2,4,19,0,0,0,0,16,0,2525,154,5,41,52,582,2195,2726,51,2777,Net-outflow,-8
39049007427,1187,287,1,50,0,20,37,39,15,0,0,0,5,4,3393,641,6,135,0,7,13,45,9,3,2,0,14,0,4664,952,10,187,100,1645,4268,5777,136,5913,Net-inflow,14
39049007492,1013,151,6,84,0,5,31,26,5,0,0,0,16,2,3503,498,5,199,5,10,3,39,10,0,2,0,22,0,4581,664,11,290,89,1339,4296,5513,122,5635,Net-inflow,13
39049007494,897,241,1,33,3,7,25,16,7,2,0,0,9,2,2443,438,7,82,2,8,4,25,13,0,0,0,8,0,3381,699,10,120,63,1243,3030,4191,82,4273,Net-outflow,-10
39049007511,47,510,0,2,0,0,15,0,2,1,0,0,3,1,113,1074,1,6,0,0,2,2,1,2,0,0,4,0,162,1587,4,8,25,581,1205,1770,16,1786,Net-outflow,-17
39049007512,54,936,0,1,0,2,25,3,11,2,0,0,13,2,291,2538,11,10,0,3,10,5,15,1,0,0,20,0,353,3500,14,11,75,1049,2904,3881,72,3953,Net-outflow,-13
39049007520,165,919,16,4,0,5,19,7,3,0,0,0,19,0,582,1442,11,2,0,11,9,12,15,0,0,0,11,0,766,2379,27,6,74,1157,2095,3185,67,3252,Net-inflow,15
39049007531,191,374,2,7,0,4,12,3,6,0,3,0,89,3,553,859,4,43,0,6,8,116,7,5,1,0,118,0,863,1246,11,54,240,694,1720,2063,351,2414,Net-inflow,8
39049007532,39,530,0,3,0,1,13,6,7,2,0,0,45,2,188,1031,1,10,0,3,11,22,0,2,4,0,90,0,255,1568,5,17,165,648,1362,1830,180,2010,Net-outflow,-5
39049007533,63,274,0,2,0,3,3,1,7,0,0,0,27,1,140,890,4,14,0,6,1,50,6,0,0,0,31,1,254,1177,4,16,73,381,1143,1400,124,1524,Net-outflow,-12
39049007534,160,1078,0,9,0,8,19,1,5,0,0,0,13,0,429,1721,5,34,0,2,8,71,4,0,0,0,22,1,661,2808,5,43,73,1293,2297,3473,117,3590,Net-inflow,16
39049007550,26,455,0,3,0,2,7,3,5,1,0,0,6,0,814,1392,3,13,0,6,9,23,6,1,1,0,21,0,866,1858,5,17,51,508,2289,2730,67,2797,Net-outflow,-14
39049007551,137,2128,4,46,2,23,22,10,23,1,0,0,40,1,858,4159,7,229,10,12,34,85,20,0,0,0,90,0,1090,6330,12,287,222,2437,5504,7671,270,7941,Net-inflow,16
39049007710,410,523,0,6,3,8,23,9,4,0,1,0,33,1,1674,1217,5,35,3,9,9,59,11,0,3,0,70,0,2152,1755,5,51,153,1021,3095,3925,191,4116,Net-outflow,-11
39049007721,292,697,11,68,0,11,37,55,41,3,1,0,164,5,1305,1579,6,166,0,10,16,134,4,11,5,0,308,14,1786,2321,31,240,565,1385,3558,4198,745,4943,Net-inflow,16
39049007722,310,216,1,39,0,4,22,12,1,0,0,0,40,2,1579,616,7,85,0,3,5,104,2,0,4,0,82,1,2005,835,8,128,159,647,2488,2887,248,3135,Net-inflow,10
39049007730,257,281,3,16,0,4,12,46,1,3,0,0,23,1,1400,568,5,66,4,6,6,51,7,4,0,0,62,7,1754,857,15,86,121,647,2186,2628,205,2833,Net-inflow,12
39049007740,142,33,0,7,0,2,4,6,1,0,0,0,9,0,1187,173,1,21,0,0,2,24,0,1,1,0,13,0,1359,207,2,29,30,204,1423,1572,55,1627,Net-outflow,-8
39049007811,396,20,2,20,0,1,9,14,0,1,0,0,2,0,2629,81,1,150,0,12,4,49,1,1,0,0,7,0,3088,102,5,170,35,465,2935,3325,75,3400,Net-inflow,11
39049007812,250,23,0,10,0,1,9,14,0,0,0,0,6,0,3314,172,1,119,2,4,9,39,3,0,1,0,26,0,3617,198,1,132,55,313,3690,3914,89,4003,Net-outflow,-8
39049007820,242,56,2,125,0,1,0,1,1,0,0,0,22,0,1839,303,4,1210,2,6,12,83,3,2,1,0,56,1,2165,363,8,1338,98,450,3522,3802,170,3972,Unchanged,0
39049007830,70,10,1,20,0,1,4,14,0,3,0,0,0,0,2017,100,8,317,1,3,3,51,0,3,0,0,25,0,2152,110,15,338,36,123,2528,2555,96,2651,Net-outflow,-15
39049007921,2016,159,3,195,5,8,36,34,2,2,0,0,12,1,4492,206,3,328,4,5,8,54,0,0,0,0,13,0,6596,367,8,532,83,2473,5113,7468,118,7586,Net-inflow,9
39049007922,1014,28,4,49,0,1,19,26,0,0,0,0,11,1,2618,53,5,127,0,1,9,51,10,0,0,0,17,0,3709,91,9,176,59,1153,2891,3928,116,4044,Net-outflow,-3
39049007931,967,48,4,25,0,3,39,10,0,0,0,0,50,2,2723,72,10,86,0,0,5,35,0,0,1,0,43,0,3735,120,14,112,142,1148,2975,3982,141,4123,Net-outflow,-6
39049007933,1860,81,3,87,0,7,29,30,7,0,3,0,32,1,4812,142,9,222,0,12,10,106,5,2,1,0,44,1,6808,235,14,313,136,2140,5366,7274,232,7506,Net-inflow,9
39049007941,357,26,1,34,1,5,12,23,0,0,2,0,15,0,1756,95,0,167,2,2,5,16,2,0,0,0,24,0,2152,123,1,206,63,476,2069,2463,82,2545,Net-outflow,-10
39049007951,1719,79,4,89,0,2,51,39,3,0,0,0,20,7,5594,170,14,349,0,5,8,79,3,1,0,0,31,1,7431,255,19,438,125,2013,6255,8084,184,8268,Net-inflow,10
39049007952,1286,18,1,55,0,6,18,24,0,1,0,0,13,3,5482,71,13,219,4,4,7,65,5,1,0,0,17,1,6857,94,16,278,69,1425,5889,7184,130,7314,Net-outflow,-5
39049007953,1299,236,2,85,8,2,34,39,4,0,0,0,35,0,4002,268,5,250,4,0,13,81,10,1,0,0,60,0,5421,518,8,347,144,1744,4694,6208,230,6438,Net-inflow,15
39049007954,1429,368,2,151,5,20,35,37,14,1,4,0,194,2,3755,552,5,352,2,6,32,242,4,2,0,0,275,0,5463,938,10,514,564,2262,5227,6714,775,7489,Net-inflow,11
39049008000,1509,32,2,24,0,4,24,26,0,4,0,0,12,0,3488,68,7,68,0,0,2,54,1,3,0,0,13,0,5077,101,16,92,55,1637,3704,5228,113,5341,Net-inflow,12
39049008110,566,117,1,13,0,2,29,22,7,0,0,0,67,0,2618,229,9,29,0,1,8,64,1,1,1,0,91,0,3270,354,11,43,198,824,3052,3622,254,3876,Net-outflow,-4
39049008120,627,53,1,10,0,10,21,6,2,5,0,0,189,3,2202,126,12,24,0,5,9,116,9,1,1,0,275,2,2951,190,19,35,514,927,2782,3100,609,3709,Net-inflow,10
39049008132,1197,272,1,30,1,7,46,31,22,3,0,0,245,5,3350,496,11,89,1,1,20,191,13,2,2,0,414,1,4769,803,17,123,739,1860,4591,5522,929,6451,Net-inflow,8
39049008141,1699,165,1,51,0,7,26,42,2,1,0,0,90,2,4569,289,16,175,3,4,13,150,8,1,1,0,132,0,6460,464,19,230,274,2086,5361,7018,429,7447,Net-inflow,9
39049008142,1014,111,1,80,2,1,43,15,3,0,0,0,161,3,3773,445,13,264,6,7,23,276,7,6,3,0,374,2,5078,566,20,355,614,1434,5199,5783,850,6633,Net-inflow,5
39049008161,1397,285,12,21,2,8,63,38,8,1,0,0,117,4,3886,561,13,98,1,3,19,177,12,12,1,0,202,2,5498,866,38,123,418,1956,4987,6369,574,6943,Net-inflow,10
39049008162,1614,147,2,37,0,10,64,74,15,1,2,2,301,2,5304,431,16,160,1,4,15,272,10,4,8,4,442,1,7264,603,23,214,839,2271,6672,7805,1138,8943,Net-inflow,9
39049008163,409,104,0,34,0,7,23,8,4,3,1,0,311,9,1518,323,6,73,1,0,8,108,4,8,2,0,448,4,2043,435,17,111,810,913,2503,2506,910,3416,Net-inflow,13
39049008164,690,233,1,32,0,17,18,9,0,0,0,0,205,3,1912,314,4,48,0,7,14,119,6,1,0,0,272,3,2730,553,6,80,539,1208,2700,3290,618,3908,Net-inflow,12
39049008210,333,45,0,8,0,1,14,8,2,3,0,0,78,1,1172,165,3,59,3,2,3,110,2,3,1,0,148,0,1623,214,9,71,247,493,1671,1808,356,2164,Net-outflow,-4
39049008230,192,212,8,0,0,2,24,8,11,2,0,0,115,3,435,266,5,3,0,0,11,105,8,10,0,0,233,2,740,497,25,3,390,577,1078,1158,497,1655,Net-inflow,8
39049008241,410,139,3,4,4,0,25,21,2,0,0,0,138,1,1363,216,7,18,2,0,1,153,16,4,0,0,183,0,1947,373,14,28,348,747,1963,2192,518,2710,Net-inflow,11
39049008242,1017,136,4,78,0,7,35,29,1,0,0,2,120,1,3769,338,7,341,1,4,14,126,14,0,0,2,245,3,4941,489,11,424,429,1430,4864,5751,543,6294,Net-inflow,10
39049008311,611,487,1,20,7,5,52,27,12,12,1,0,183,2,2178,623,12,48,2,4,11,141,9,11,0,0,271,0,2957,1131,36,78,528,1420,3310,4061,669,4730,Net-inflow,14
39049008312,694,465,3,36,38,22,58,19,7,2,1,0,118,6,2082,579,6,122,23,2,9,170,18,4,0,0,191,1,2965,1069,15,220,407,1469,3207,4139,537,4676,Net-inflow,11
39049008321,270,77,0,30,0,5,15,18,4,0,0,0,14,0,1513,152,3,68,1,2,2,39,0,0,0,0,33,1,1840,233,3,99,72,433,1814,2138,109,2247,Net-outflow,-9
39049008322,698,122,3,32,0,12,30,29,2,0,1,0,47,1,2983,294,12,49,0,4,10,48,9,2,0,0,57,0,3758,427,17,82,161,977,3468,4249,196,4445,Net-inflow,11
39049008330,344,31,0,2,0,1,4,6,0,0,0,0,2,1,1257,52,5,9,1,0,0,8,0,0,0,0,6,0,1615,83,5,12,14,391,1338,1706,23,1729,Net-outflow,-7
39049008340,990,266,3,43,0,0,31,34,4,2,1,0,41,0,3419,697,16,134,0,2,10,91,0,6,1,0,68,0,4534,967,27,179,152,1415,4444,5611,248,5859,Net-inflow,11
39049008350,747,1024,4,32,2,5,48,18,26,4,2,0,201,3,2490,1301,13,85,8,6,13,183,30,3,3,0,264,1,3438,2381,24,132,541,2116,4400,5778,738,6516,Net-inflow,6
39049008360,1205,236,4,59,0,5,33,32,1,7,0,0,64,1,3866,411,8,111,1,3,15,76,5,7,4,0,75,2,5179,653,26,175,198,1647,4584,5957,274,6231,Net-inflow,12
39049008370,1537,104,5,48,0,3,25,33,1,0,0,0,54,6,4900,230,18,99,1,5,11,98,5,2,0,0,71,1,6568,340,25,148,176,1816,5441,6986,271,7257,Net-inflow,12
39049008380,848,119,0,14,0,3,28,17,3,0,0,0,28,1,3179,864,14,59,0,4,10,64,4,0,0,0,66,0,4108,990,14,73,140,1061,4264,5142,183,5325,Net-inflow,2
39049008400,559,5,1,7,0,0,15,13,0,0,0,0,3,0,2217,36,3,36,0,3,2,21,0,0,0,0,8,0,2810,41,4,43,31,603,2326,2884,45,2929,Net-outflow,-12
39049008500,792,16,0,7,0,5,18,20,0,1,0,0,13,1,3167,53,6,41,2,2,4,61,1,0,0,0,19,0,4040,70,7,50,62,873,3356,4113,116,4229,Net-outflow,-7
39049008710,44,531,4,11,0,0,7,4,1,2,0,0,6,4,317,1615,5,53,0,0,5,10,0,2,0,0,8,0,375,2147,13,64,30,614,2015,2592,37,2629,Net-outflow,-5
39049008720,186,315,0,61,0,5,16,15,4,3,1,0,80,8,972,1225,4,163,1,3,14,82,13,5,1,0,164,5,1255,1557,12,227,295,694,2652,2965,381,3346,Net-inflow,11
39049008730,55,198,2,1,0,1,2,7,10,1,0,0,17,0,429,850,4,3,1,3,8,52,0,3,0,0,42,0,543,1058,10,5,73,294,1395,1557,132,1689,Net-outflow,-17
39049008811,367,48,0,0,2,5,5,4,3,0,0,0,9,2,1201,177,1,1,1,6,1,10,0,0,0,0,2,0,1582,228,1,4,30,445,1400,1815,30,1845,Net-outflow,-13
39049008812,123,458,6,2,0,6,16,10,2,2,0,0,10,2,684,1531,10,13,0,9,14,18,5,1,0,0,16,0,835,1996,19,15,73,637,2301,2872,66,2938,Net-inflow,11
39049008813,55,448,0,3,0,10,10,5,4,0,0,0,11,0,239,1451,4,12,0,3,3,8,4,0,0,0,7,0,307,1907,4,15,44,546,1731,2238,39,2277,Net-outflow,-9
39049008821,483,19,1,4,0,0,7,14,0,0,1,0,11,0,2036,29,5,12,0,1,2,8,0,0,0,0,18,0,2541,48,6,17,39,540,2111,2599,52,2651,Net-outflow,-5
39049008822,563,384,0,6,0,5,29,11,5,0,0,0,21,0,2159,604,14,29,1,3,9,48,4,0,0,1,19,0,2781,997,14,37,86,1024,2891,3806,109,3915,Net-outflow,-5
39049008825,1296,185,5,21,0,6,36,18,0,0,0,0,17,2,4166,330,9,42,1,0,8,22,0,1,2,0,36,0,5502,515,15,66,105,1586,4617,6105,98,6203,Net-outflow,-6
39049008900,779,92,1,16,0,2,23,26,3,0,0,0,0,2,3556,311,11,65,1,2,6,41,1,0,1,0,14,0,4402,407,12,83,49,944,4009,4865,88,4953,Net-outflow,-13
39049009000,832,21,0,13,0,5,15,17,2,0,0,0,0,1,2142,102,1,44,1,2,6,13,0,0,0,0,4,0,3004,125,1,58,33,906,2315,3184,37,3221,Net-outflow,-7
39049009100,1207,77,1,13,0,6,30,42,6,0,0,0,5,1,3031,148,1,42,0,1,4,19,8,0,1,0,5,1,4299,239,2,56,53,1388,3261,4561,88,4649,Net-outflow,-6
39049009210,236,467,6,34,0,14,18,31,31,0,0,1,87,10,1443,1593,10,144,5,8,10,157,19,8,2,0,221,9,1867,2110,24,186,377,935,3629,3988,576,4564,Net-inflow,17
39049009220,341,95,0,7,0,4,18,29,2,0,0,0,45,7,1281,323,7,22,1,0,2,57,0,1,0,0,68,0,1708,420,8,30,144,548,1762,2101,209,2310,Net-inflow,14
39049009230,544,427,4,25,0,7,36,50,6,1,1,0,67,5,1924,830,10,82,0,2,14,104,7,8,0,0,115,2,2622,1270,23,108,248,1173,3098,3905,366,4271,Net-inflow,14
39049009240,310,71,4,0,0,1,4,4,4,0,0,0,37,2,1216,116,5,8,0,1,4,45,1,1,0,0,43,0,1575,192,10,8,92,437,1440,1740,137,1877,Net-outflow,-6
39049009250,265,117,3,3,0,5,11,11,2,3,0,0,19,1,1079,224,2,21,1,7,6,19,0,7,0,0,38,2,1374,343,15,25,89,440,1406,1744,102,1846,Net-inflow,3
39049009311,184,478,0,6,0,4,19,5,12,0,4,0,35,3,885,995,2,21,0,4,11,64,8,1,2,0,57,3,1138,1493,3,33,136,750,2053,2609,194,2803,Net-inflow,9
39049009312,106,601,5,5,0,9,25,25,7,0,0,0,36,1,754,1149,6,31,2,1,13,22,14,0,0,0,90,0,907,1771,11,38,175,820,2082,2707,195,2902,Net-outflow,-4
39049009321,115,339,2,11,0,3,15,18,1,0,0,0,38,2,720,670,6,63,1,6,2,36,0,0,0,0,60,1,889,1010,8,75,127,544,1565,1953,156,2109,Net-outflow,-12
39049009322,137,515,3,9,0,2,19,21,20,4,0,0,33,2,1071,1144,4,53,1,5,8,25,1,1,0,0,56,0,1254,1680,12,63,125,765,2369,2971,163,3134,Net-inflow,10
39049009323,120,714,1,4,1,15,22,11,21,1,0,0,105,0,537,1317,7,31,0,3,11,57,7,0,0,0,173,0,725,2059,9,36,329,1015,2143,2783,375,3158,Net-inflow,14
39049009325,88,964,0,13,15,12,21,13,11,0,0,0,95,1,619,2169,9,35,8,3,12,133,8,1,0,0,242,0,853,3152,10,71,386,1233,3239,3968,504,4472,Net-inflow,15
39049009326,86,234,0,4,0,2,15,2,8,0,2,0,15,2,388,811,5,0,1,0,6,56,0,1,4,0,48,0,532,1053,6,11,88,370,1320,1552,138,1690,Net-inflow,10
39049009331,11,173,0,0,0,2,2,1,0,0,0,0,7,0,99,454,2,9,0,2,0,9,2,0,0,0,20,0,120,629,2,9,33,196,597,754,39,793,Net-outflow,-11
39049009332,27,487,0,0,0,3,12,3,3,1,0,0,2,1,503,1903,4,26,0,8,14,11,11,1,0,0,9,0,544,2404,6,26,49,539,2490,2987,42,3029,Net-outflow,-14
39049009333,28,356,0,15,0,1,10,11,4,0,0,0,4,0,296,1127,3,85,0,1,9,16,8,1,0,0,12,0,351,1495,4,100,37,429,1558,1931,56,1987,Net-outflow,-6
39049009334,39,610,0,26,0,7,11,2,5,0,0,0,15,1,346,1554,10,75,0,3,7,7,15,0,1,0,21,0,394,2184,10,102,65,716,2039,2688,67,2755,Net-inflow,9
39049009336,92,302,1,5,0,3,3,1,13,0,0,0,3,0,1028,1043,4,48,0,1,12,34,2,0,0,0,31,0,1155,1360,5,53,53,423,2203,2542,84,2626,Net-outflow,-14
39049009337,94,935,2,8,0,9,21,1,31,0,0,0,38,2,458,1965,15,48,0,1,12,32,9,0,0,0,81,0,585,2940,17,56,164,1141,2621,3568,194,3762,Net-inflow,14
39049009340,322,293,0,5,0,3,31,10,13,0,0,0,45,2,1087,675,11,32,0,10,15,42,8,0,1,0,85,2,1461,989,11,38,193,724,1968,2484,208,2692,Net-inflow,10
39049009350,115,313,3,4,0,5,18,54,5,0,1,0,48,0,973,860,7,30,1,0,10,27,2,1,0,0,144,0,1169,1180,11,36,225,566,2055,2339,282,2621,Net-inflow,12
39049009361,142,436,0,8,0,6,19,19,17,0,0,0,13,1,2259,1595,7,50,1,7,17,27,7,0,1,0,25,0,2447,2055,7,60,88,661,3996,4547,110,4657,Net-inflow,17
39049009362,732,410,0,18,1,4,26,25,20,0,0,0,13,0,3897,990,6,77,7,3,9,58,4,1,1,0,33,0,4712,1424,7,104,88,1249,5086,6180,155,6335,Net-inflow,14
39049009371,206,798,1,9,0,3,29,18,9,2,0,0,24,0,1666,2376,9,43,0,14,13,36,17,6,4,0,78,0,1926,3200,18,56,161,1099,4262,5167,194,5361,Net-inflow,14
39049009372,242,876,0,22,0,4,25,23,10,0,0,0,22,4,1251,1566,11,62,2,3,9,32,13,1,0,0,42,1,1548,2465,12,86,110,1228,2993,4073,148,4221,Net-outflow,-7
39049009373,338,1468,3,18,0,8,64,18,20,0,0,0,41,0,1278,2091,7,60,0,11,22,62,24,0,2,0,50,0,1696,3603,10,80,196,1978,3607,5368,217,5585,Net-inflow,15
39049009374,655,1231,3,26,3,6,75,42,28,3,0,0,70,5,2777,2473,14,104,5,5,28,81,26,1,1,0,138,1,3555,3758,21,139,328,2147,5654,7405,396,7801,Net-inflow,8
39049009381,575,664,2,22,0,1,46,32,29,3,2,0,11,1,2633,1054,4,98,0,1,21,54,0,2,0,0,32,0,3294,1747,11,122,113,1388,3899,5121,166,5287,Net-inflow,8
39049009382,441,102,0,9,0,2,21,26,2,0,0,0,7,0,1847,194,9,22,1,0,7,25,4,0,0,0,17,0,2339,302,9,32,54,610,2126,2655,81,2736,Net-outflow,-5
39049009383,286,151,0,7,3,1,19,7,3,1,2,0,17,1,1289,326,2,8,5,0,4,28,3,1,1,0,28,0,1610,483,4,26,70,498,1695,2101,92,2193,Net-outflow,-18
39049009384,298,200,2,2,0,5,23,27,8,0,0,0,18,1,1477,374,6,19,0,3,9,26,0,2,1,1,18,0,1828,582,10,23,77,584,1936,2418,102,2520,Net-outflow,-12
39049009385,379,150,0,20,0,0,19,24,5,0,0,0,0,0,2198,437,6,59,0,7,6,39,9,1,0,0,10,2,2640,601,7,79,44,597,2774,3281,90,3371,Net-outflow,-3
39049009386,245,502,2,3,0,2,33,20,7,0,0,0,40,3,865,834,6,11,1,5,7,22,6,0,0,0,66,0,1152,1349,8,15,156,857,1823,2516,164,2680,Net-outflow,-11
39049009390,873,301,4,29,4,12,50,28,5,4,1,0,14,2,3148,599,8,92,2,0,11,68,0,0,1,2,31,0,4117,905,16,131,120,1327,3962,5133,156,5289,Net-inflow,12
39049009410,407,304,0,6,0,6,27,18,2,0,0,0,30,0,1437,453,4,38,5,8,8,9,8,1,0,0,24,1,1871,767,5,49,104,800,1996,2703,93,2796,Net-outflow,-4
39049009420,987,461,2,11,0,6,52,29,13,0,0,2,21,0,3050,841,9,66,7,12,4,60,6,0,0,0,20,0,4126,1321,11,86,115,1584,4075,5508,151,5659,Net-inflow,16
39049009430,1011,777,4,21,3,19,47,26,14,0,0,0,31,1,3390,1528,11,108,4,14,22,55,7,3,0,2,57,3,4482,2326,18,138,194,1954,5204,6959,199,7158,Net-inflow,8
39049009440,803,135,4,33,0,5,15,20,2,0,0,0,9,0,2842,303,10,48,0,1,11,33,3,0,0,0,34,0,3698,443,14,81,75,1026,3285,4210,101,4311,Net-outflow,-6
39049009450,2008,421,3,33,0,14,64,27,6,0,1,0,13,9,5313,618,4,85,1,14,7,37,5,0,0,0,18,0,7385,1050,7,120,139,2599,6102,8585,116,8701,Net-inflow,15
39049009495,750,372,3,45,0,9,33,31,7,0,0,0,39,0,2640,626,6,81,0,10,13,14,0,0,0,1,61,0,3435,1005,9,127,165,1289,3452,4588,153,4741,Net-outflow,-4
39049009497,245,6,0,3,0,2,2,5,0,0,0,0,0,0,1293,17,2,23,0,0,2,3,0,0,0,0,2,0,1546,23,2,26,8,263,1342,1595,10,1605,Net-outflow,-16
39049009520,998,124,6,17,0,2,28,20,3,0,0,0,0,3,2697,236,11,38,0,2,8,25,0,0,1,0,17,0,3740,363,17,56,60,1201,3035,4167,69,4236,Net-inflow,9
39049009590,804,87,0,3,0,0,17,16,4,0,0,0,13,3,3470,160,11,31,1,4,3,20,0,1,0,0,13,0,4310,251,12,35,53,947,3714,4591,70,4661,Net-outflow,-11
39049009600,709,221,1,12,42,5,31,30,7,1,1,0,20,1,2433,374,12,35,44,1,10,52,0,3,0,0,30,1,3224,602,17,134,99,1081,2995,3930,146,4076,Net-inflow,11
39049009711,920,68,2,8,6,2,22,26,0,0,0,0,7,0,3041,97,6,20,2,0,7,21,4,0,0,0,24,0,4008,169,8,36,62,1061,3222,4201,82,4283,Net-outflow,-6
39049009712,475,14,0,3,0,4,6,20,0,0,0,0,15,0,1906,20,5,5,0,5,3,7,0,0,0,0,2,0,2408,34,5,8,35,537,1953,2446,44,2490,Net-outflow,-8
39049009720,1210,73,0,25,0,2,30,33,3,0,0,0,44,0,4833,126,6,55,1,10,11,103,1,0,0,2,101,0,6179,203,6,83,198,1420,5249,6382,287,6669,Net-outflow,-9
39049009740,3103,91,1,59,0,5,43,57,0,2,0,0,9,5,9509,185,15,163,0,2,18,118,1,4,0,0,31,1,12787,277,22,222,114,3375,10047,13194,228,13422,Net-inflow,13
39049009751,1254,56,4,17,0,9,17,5,4,1,0,0,3,0,3447,67,4,50,3,6,8,27,1,0,0,0,3,0,4733,128,9,70,46,1370,3616,4942,44,4986,Net-outflow,-11
39049009752,1429,99,6,43,2,9,42,42,4,4,1,0,18,5,3842,208,8,79,0,10,8,85,0,5,0,1,30,0,5398,311,23,126,122,1704,4276,5785,195,5980,Net-inflow,16
39049009800,1397,18,0,5,0,1,19,10,0,0,0,0,15,0,5073,45,14,25,1,3,5,34,0,2,0,0,15,0,6514,63,16,31,58,1465,5217,6606,76,6682,Net-inflow,13
39049009900,61,98,0,8,0,4,2,4,3,0,0,0,28,0,551,451,1,46,1,7,8,67,9,6,0,0,92,0,683,561,7,55,141,208,1239,1238,209,1447,Net-inflow,13
39049010000,709,184,0,52,0,2,34,38,8,0,0,0,4,2,3560,439,9,136,0,9,13,38,6,0,0,0,19,1,4345,637,9,188,84,1033,4230,5147,116,5263,Net-outflow,-5
39049010100,15,61,0,4,0,0,2,5,9,0,0,0,6,0,381,458,3,34,0,3,1,11,0,0,0,0,4,0,412,528,3,38,16,102,895,962,35,997,Net-outflow,-9
39049010200,1914,1787,5,74,0,14,138,95,29,4,1,0,101,6,7087,3491,21,195,1,19,50,193,43,3,1,0,207,0,9289,5350,33,272,535,4168,11311,14796,683,15479,Net-inflow,14
39049010300,790,177,0,6,0,11,48,31,0,0,0,2,11,2,1330,229,6,11,0,6,4,29,0,0,0,2,17,0,2180,406,6,21,99,1078,1634,2618,94,2712,Net-outflow,-6
39049010400,1903,24,2,495,0,5,35,20,1,0,0,3,17,1,3897,69,1,806,1,7,5,93,1,1,0,2,14,1,5913,95,4,1307,85,2506,4898,7250,154,7404,Net-inflow,6
39049010500,1821,35,1,409,0,2,33,27,0,0,2,0,14,4,4581,73,2,768,1,8,8,70,0,1,0,0,19,0,6499,108,4,1180,88,2348,5531,7742,137,7879,Net-inflow,11
